gene_name,gene_id,gene_type,pathway
FHDC1,ENSG00000137460.10,protein_coding,Other
RP11-206L10.8,ENSG00000230092.7,transcribed_unprocessed_pseudogene,Other
DYNC1LI2,ENSG00000135720.13,protein_coding,Other
IGF2BP2,ENSG00000073792.16,protein_coding,Other
CA1,ENSG00000133742.14,protein_coding,Erythropoiesis
SNORD3A,ENSG00000263934.5,snoRNA,Other
NUTF2,ENSG00000102898.12,protein_coding,Other
TRAK2,ENSG00000115993.13,protein_coding,Other
CCDC26,ENSG00000229140.11,lncRNA,Other
STK25,ENSG00000115694.15,protein_coding,Other
IREB2,ENSG00000136381.13,protein_coding,Other
PLEKHA4,ENSG00000105559.12,protein_coding,Other
RNY5,ENSG00000286171.1,lncRNA,Other
HBB,ENSG00000244734.4,protein_coding,Erythropoiesis
EPB42,ENSG00000166947.15,protein_coding,Erythropoiesis
RN7SL396P,ENSG00000244642.3,misc_RNA,Other
RELL1,ENSG00000181826.10,protein_coding,Other
H19,ENSG00000130600.19,lncRNA,Other
CACNG2,ENSG00000166862.7,protein_coding,Other
CENPF,ENSG00000117724.13,protein_coding,Other
NES,ENSG00000132688.11,protein_coding,Other
SYNPO,ENSG00000171992.13,protein_coding,Other
BUD13,ENSG00000137656.12,protein_coding,Other
RNY3,ENSG00000202354.1,misc_RNA,Other
SORBS3,ENSG00000120896.14,protein_coding,Other
PDIA6,ENSG00000143870.13,protein_coding,Other
DENND1B,ENSG00000213047.13,protein_coding,Other
RN7SL151P,ENSG00000244230.3,misc_RNA,Other
NFE2L1,ENSG00000082641.16,protein_coding,Other
EHBP1L1,ENSG00000173442.13,protein_coding,Other
SLX4,ENSG00000188827.11,protein_coding,Other
TBX21,ENSG00000073861.3,protein_coding,Other
RAB1A,ENSG00000138069.18,protein_coding,Other
TRIO,ENSG00000038382.20,protein_coding,Other
PPP1R15A,ENSG00000087074.8,protein_coding,Other
AHCTF1,ENSG00000153207.16,protein_coding,Other
RFLNB,ENSG00000183688.4,protein_coding,Other
SPTA1,ENSG00000163554.15,protein_coding,Erythropoiesis
RUBCNL,ENSG00000102445.20,protein_coding,Other
TNFAIP8L2,ENSG00000163154.6,protein_coding,Other
SHARPIN,ENSG00000179526.17,protein_coding,Other
RNF5,ENSG00000204308.8,protein_coding,Other
PITPNM1,ENSG00000110697.13,protein_coding,Other
PLSCR1,ENSG00000188313.13,protein_coding,Other
MCTP1,ENSG00000175471.19,protein_coding,Other
SOGA1,ENSG00000149639.15,protein_coding,Other
LLNLF-96A1.1,ENSG00000283907.1,lncRNA,Other
MSRB1,ENSG00000198736.12,protein_coding,Other
ZSWIM9,ENSG00000185453.13,protein_coding,Other
RNA5SP259,ENSG00000202411.1,rRNA_pseudogene,Other
ORC4,ENSG00000115947.14,protein_coding,Other
RNY3P1,ENSG00000201955.1,misc_RNA,Other
TNS2,ENSG00000111077.18,protein_coding,Other
ARHGEF11,ENSG00000132694.19,protein_coding,Other
FADD,ENSG00000168040.5,protein_coding,Other
CCNYL1,ENSG00000163249.13,protein_coding,Other
RNU5B-1,ENSG00000200156.1,snRNA,Other
FAM102B,ENSG00000162636.16,protein_coding,Other
THAP11,ENSG00000168286.3,protein_coding,Other
CCND1,ENSG00000110092.4,protein_coding,Other
SLC2A1,ENSG00000117394.24,protein_coding,Other
APBA2,ENSG00000034053.15,protein_coding,Other
UACA,ENSG00000137831.15,protein_coding,Other
SPSB3,ENSG00000162032.16,protein_coding,Other
MIDEAS,ENSG00000156030.13,protein_coding,Other
DDX59,ENSG00000118197.14,protein_coding,Other
DEFA3,ENSG00000239839.7,protein_coding,Other
PDLIM7,ENSG00000196923.14,protein_coding,Other
CHST15,ENSG00000182022.18,protein_coding,Other
SSR3,ENSG00000114850.7,protein_coding,Other
SLC35A4,ENSG00000176087.16,protein_coding,Other
BET1L,ENSG00000177951.17,protein_coding,Other
SPRYD3,ENSG00000167778.9,protein_coding,Other
PRAG1,ENSG00000275342.5,protein_coding,Other
BRD8,ENSG00000112983.18,protein_coding,Other
KIF15,ENSG00000163808.17,protein_coding,Other
CTSW,ENSG00000172543.9,protein_coding,Other
DSTYK,ENSG00000133059.17,protein_coding,Other
MAP1S,ENSG00000130479.11,protein_coding,Other
PRR12,ENSG00000126464.14,protein_coding,Other
UTP18,ENSG00000011260.14,protein_coding,Other
TFAP4,ENSG00000090447.12,protein_coding,Other
FILIP1L,ENSG00000168386.19,protein_coding,Other
YAF2,ENSG00000015153.15,protein_coding,Other
AMPD3,ENSG00000133805.15,protein_coding,Other
C1orf115,ENSG00000162817.7,protein_coding,Other
FTH1P10,ENSG00000223361.5,transcribed_processed_pseudogene,Other
ENAH,ENSG00000154380.17,protein_coding,Other
HBA2,ENSG00000188536.13,protein_coding,Erythropoiesis
ATG2A,ENSG00000110046.13,protein_coding,Other
RNF8,ENSG00000112130.17,protein_coding,Other
C22orf46,ENSG00000184208.12,transcribed_unitary_pseudogene,Other
ZEB1,ENSG00000148516.23,protein_coding,Other
CYB5A,ENSG00000166347.19,protein_coding,Other
ZNF317,ENSG00000130803.15,protein_coding,Other
CCAR2,ENSG00000158941.16,protein_coding,Other
BTF3L4,ENSG00000134717.18,protein_coding,Other
SBDSP1,ENSG00000225648.5,transcribed_unprocessed_pseudogene,Other
MZT2A,ENSG00000173272.16,protein_coding,Other
MTCO1P12,ENSG00000237973.1,unprocessed_pseudogene,Other
SMARCD2,ENSG00000108604.16,protein_coding,Other
IGHA1,ENSG00000211895.5,IG_C_gene,Other
KLHDC4,ENSG00000104731.14,protein_coding,Other
H3C3,ENSG00000287080.2,protein_coding,Other
ENOPH1,ENSG00000145293.16,protein_coding,Other
IRF2BPL,ENSG00000119669.5,protein_coding,Other
DIDO1,ENSG00000101191.17,protein_coding,Other
TECPR2,ENSG00000196663.16,protein_coding,Other
TANGO2,ENSG00000183597.16,protein_coding,Other
YES1,ENSG00000176105.14,protein_coding,Other
GABPB1,ENSG00000104064.18,protein_coding,Other
IGF2R,ENSG00000197081.16,protein_coding,Other
NOTCH1,ENSG00000148400.13,protein_coding,Other
TRIM23,ENSG00000113595.15,protein_coding,Other
SLC24A1,ENSG00000074621.14,protein_coding,Other
CMTM6,ENSG00000091317.8,protein_coding,Other
