metabolite_id,metabolite_name,HMDB_id,KEGG_id,pathway,super_pathway,log2FoldChange,pvalue,padj,baseMean,comparison,mission
MET_I4_0001,Alanine,HMDB00161,C00041,"Alanine, Aspartate, and Glutamate metabolism",Amino acids,-0.128087871220748,0.3371082387081675,0.6635265153196083,1650319.75,R+1_vs_Preflight,Inspiration4
MET_I4_0002,Succinic Semialdehyde,HMDB01259,C00232,"Alanine, Aspartate, and Glutamate metabolism",Amino acids,0.3757963981162013,0.2072854876380428,0.5842859682797332,101182.2125,R+1_vs_Preflight,Inspiration4
MET_I4_0003,4-Aminobutanoate (GABA),HMDB00112,C00334,"Alanine, Aspartate, and Glutamate metabolism",Amino acids,0.4615038782150104,0.0708183064146785,0.4316088674732432,1391259.4583333333,R+1_vs_Preflight,Inspiration4
MET_I4_0004,Asparagine,HMDB00168,C00152,"Alanine, Aspartate, and Glutamate metabolism",Amino acids,0.0498516011164801,0.8666324414104536,0.9514184856318494,337812.4416666667,R+1_vs_Preflight,Inspiration4
MET_I4_0005,Glutamine,HMDB00641,C00064,"Alanine, Aspartate, and Glutamate metabolism",Amino acids,0.0675746999884212,0.5641299942674743,0.8287382000476577,16813928.083333332,R+1_vs_Preflight,Inspiration4
MET_I4_0006,Glutamic Acid,HMDB00148,C00025,"Alanine, Aspartate, and Glutamate metabolism",Amino acids,-0.0775083691551461,0.8120065651202202,0.9409478282768764,1116305.0333333332,R+1_vs_Preflight,Inspiration4
MET_I4_0007,3-Hydroxyglutaric Acid,HMDB00428,,"Alanine, Aspartate, and Glutamate metabolism, glutamate degradation",Amino acids,-0.1750450057675243,0.6012306418479445,0.836628725087066,395080.8583333333,R+1_vs_Preflight,Inspiration4
MET_I4_0008,N-Acetylaspartic Acid,HMDB00812,C01042,"Alanine, aspartate, and glutamate metabolism",Amino acids,-0.0583427000725742,0.6584159761020905,0.8532919690288586,448327.2333333332,R+1_vs_Preflight,Inspiration4
MET_I4_0009,N-Acetylaspartiylglutamate (NAAG),HMDB01067,C12270,"Alanine, aspartate, and glutamate metabolism",Amino acids,-0.0441980303032136,0.8339675624999778,0.9424372905349326,33323.25583333333,R+1_vs_Preflight,Inspiration4
MET_I4_0010,Urea,HMDB00294,C00086,Arginine and Proline metabolism,Amino acids,0.0466988051455943,0.7003795842031473,0.8804465545905312,7815303.0,R+1_vs_Preflight,Inspiration4
MET_I4_0011,Creatinine,HMDB00562,C00791,Arginine and Proline metabolism,Amino acids,-0.2158317788638025,0.1095169869781242,0.4683643946690702,84414072.91666667,R+1_vs_Preflight,Inspiration4
MET_I4_0012,Proline,HMDB00162,C00148,Arginine and Proline metabolism,Amino acids,0.2301517472786091,0.1221612950908682,0.4683643946690702,12335998.666666666,R+1_vs_Preflight,Inspiration4
MET_I4_0013,4-Hydroxy-Proline,,C01157,Arginine and Proline metabolism,Amino acids,0.4502551369756872,0.2184252273412333,0.5880403552006206,237981.73333333337,R+1_vs_Preflight,Inspiration4
MET_I4_0014,Ornithine,HMDB00214,C00077,Arginine and proline metabolism,Amino acids,-0.6051121032006754,0.1124991821447169,0.4683643946690702,609409.5416666666,R+1_vs_Preflight,Inspiration4
MET_I4_0015,Arginine,HMDB00517,C00062,Arginine and Proline metabolism,Amino acids,0.5412049359609572,0.117654916440871,0.4683643946690702,966234.5,R+1_vs_Preflight,Inspiration4
MET_I4_0016,Citrulline,HMDB00904,C00327,Arginine and Proline metabolism,Amino acids,-0.4351670687571199,0.1029336289078906,0.4683643946690702,122465.16083333334,R+1_vs_Preflight,Inspiration4
MET_I4_0017,N-Acetydglutamic Acid,HMDB01138,C00624,Arginine and proline metabolism,Amino acids,-0.029061730740892,0.8844335220632403,0.9514184856318494,189616.2,R+1_vs_Preflight,Inspiration4
MET_I4_0018,Dimethylarginine,HMDB03334,,Arginine and Proline metabolism,Amino acids,-0.2009603721560682,0.0775517623111691,0.4393682020118479,246649.6166666666,R+1_vs_Preflight,Inspiration4
MET_I4_0019,Argininosuccinic Acid,HMDB00052,C03406,Arginine and Proline metabolism,Amino acids,0.2179859076300985,0.2444709525384556,0.6106672304348486,127509.34416666666,R+1_vs_Preflight,Inspiration4
MET_I4_0020,Phosphocreatine,HMDB01511,C02305,"Arginine and Proline metabolism,Creatine metabolism",Amino acids,-0.192889208911618,0.5978106277580069,0.836628725087066,11793.85233333333,R+1_vs_Preflight,Inspiration4
MET_I4_0021,Guanidinosuccinic Acid,HMDB03157,C03139,"Arginine and Proline metabolism,L-Arginosuccinate oxidation",Amino acids,-0.080799866621507,0.511524440440249,0.7982613240088315,60531.49749999999,R+1_vs_Preflight,Inspiration4
MET_I4_0022,Pyrrole-2-Carboxylic Acid,HMDB04230,C05942,Oxidation derivative of hydroxyproline,Amino acids,,,,78651.59222222223,R+1_vs_Preflight,Inspiration4
MET_I4_0023,Proline Betaine,HMDB04827,C10172,"Arginine and Proline metabolism, osmolyte",Amino acids,-2.0667614973867887,0.0925030845407876,0.44943203779015,3576777.1,R+1_vs_Preflight,Inspiration4
MET_I4_0024,Sulfite,HMDB00240,C00094,Cysteine and Methionine metabolism,Amino acids,0.0109583178680373,0.9809848377439788,0.9942115996012012,19236.51683333333,R+1_vs_Preflight,Inspiration4
MET_I4_0025,Thiosulfate,HMDB00257,C00320,Cysteine and Methionine metabolism,Amino acids,-0.9226373867159526,0.1541402020319136,0.5226859482435567,8839450.5,R+1_vs_Preflight,Inspiration4
MET_I4_0026,Homocysteine Thiolactone,HMDB02287,,Cysteine and methionine metabolism,Amino acids,-0.0856973791954095,0.7929634474789384,0.931279900761281,54472.62,R+1_vs_Preflight,Inspiration4
MET_I4_0027,Methionine,HMDB00696,C00073,Cysteine and methionine metabolism,Amino acids,0.2091131078318054,0.1275573817502868,0.470632807493079,3902545.1666666665,R+1_vs_Preflight,Inspiration4
MET_I4_0028,N-Formylmethionine,HMDB01015,C03145,Cysteine and Methionine metabolism,Amino acids,-0.045039537154022,0.8178526578371077,0.9409478282768764,190007.1,R+1_vs_Preflight,Inspiration4
MET_I4_0029,Cysteine-S-Sulfonic Acid,HMDB00731,C05824,Cysteine and Methionine metabolism,Amino acids,0.1146584759260569,0.6483149999744852,0.8502136175419236,6319287.0,R+1_vs_Preflight,Inspiration4
MET_I4_0030,O-Succinylhomoserine,,C01118,Cysteine and methionine metabolism,Amino acids,-0.3429140558259274,0.3768485599578464,0.6853173408910835,26146.02666666667,R+1_vs_Preflight,Inspiration4
MET_I4_0031,Methionine  Lactamide,,,"Cysteine and methionine metabolism,  from msms fragmentation",Amino acids,-2.819299503417891,0.1165279794236331,0.4683643946690702,15970.060249999997,R+1_vs_Preflight,Inspiration4
MET_I4_0032,Cystine,HMDB00192,C00491,Cysteine and methionine metabolism,Amino acids,0.14677925343556,0.3880109613783673,0.6953615185590964,315369.95,R+1_vs_Preflight,Inspiration4
MET_I4_0033,2-Hydroxybutyric acid,HMDB00008,C05984,Cysteine and methionine metabolism,Amino acids,0.4051905990482283,0.172318365040026,0.5472928354440263,4784448.916666667,R+1_vs_Preflight,Inspiration4
MET_I4_0034,5'-Methylthioadenosine (MTA),HMDB01173,C00170,Cysteine and methionine metabolism,Amino acids,0.6385276884516498,0.1696480134009431,0.5426330074030167,14332.505749999998,R+1_vs_Preflight,Inspiration4
MET_I4_0035,S-Adenosylhomocysteine (SAH),HMDB00939,C00021,Cysteine and methionine metabolism,Amino acids,-0.3072633309248377,0.2134243474495813,0.5880403552006206,10777.541833333336,R+1_vs_Preflight,Inspiration4
MET_I4_0036,2-Aminobutyric Acid,HMDB00452,C02356,Cysteine and methionine metabolism,Amino acids,-0.1168138442308658,0.5227173983110849,0.8023312309255253,40000.5375,R+1_vs_Preflight,Inspiration4
MET_I4_0037,Methylglyoxal,HMDB01167,C00546,"Glycine, serine, and threonine metabolism,pyruvate metabolism",Amino acids,-0.2422379025052343,0.1392521423392233,0.4830978168845363,157970.675,R+1_vs_Preflight,Inspiration4
MET_I4_0038,Glycinamide,HMDB00123,C00037,"Glycine, serine, and threonine metabolism",Amino acids,-0.2222325869786514,0.3047589679851746,0.6522357789806338,20668.826666666668,R+1_vs_Preflight,Inspiration4
MET_I4_0039,Glycine,HMDB00123,C00037,"Glycine, serine, and threonine metabolism",Amino acids,0.2445767335992913,0.4285144120540736,0.7184386611018111,58527.84333333333,R+1_vs_Preflight,Inspiration4
MET_I4_0040,2-Ketobutyric Acid,HMDB00005,C00109,"Glycine, serine, and threonine metabolism; Cysteine and methionine metabolism",Amino acids,-0.1462750198927629,0.7444328617588669,0.9188335127824035,230291.1958333333,R+1_vs_Preflight,Inspiration4
MET_I4_0041,Choline,HMDB00097,C00114,"Glycine, serine and threonine metabolism",Amino acids,0.0231057657547932,0.8246824179781436,0.9424372905349326,5156996.916666667,R+1_vs_Preflight,Inspiration4
MET_I4_0042,Serine,HMDB00187,C00065,"Glycine, serine and threonine metabolism",Amino acids,0.2254388023259957,0.2351065636015387,0.6059032010531085,650714.9833333334,R+1_vs_Preflight,Inspiration4
MET_I4_0043,Betaine,HMDB00043,C00719,"Glycine, serine and threonine metabolism",Amino acids,0.0692807915985751,0.7974795464559391,0.9317701436570688,41311238.583333336,R+1_vs_Preflight,Inspiration4
MET_I4_0044,N-Formylglycine,,,"Glycine, serine and threonine metabolism",Amino acids,-0.2845387843703182,0.0487614816841536,0.4132029385853039,126955.375,R+1_vs_Preflight,Inspiration4
MET_I4_0045,Threonine,HMDB00167,C00188,"Glycine, serine and threonine metabolism",Amino acids,-0.2341041042883265,0.233789214189226,0.6059032010531085,3559781.4166666665,R+1_vs_Preflight,Inspiration4
MET_I4_0046,Creatine,HMDB00064,C00300,"Glycine, serine, and threonine metabolism. Arginine and Proline metabolism",Amino acids,0.2174685282909417,0.308432488015677,0.6522357789806338,1183018.525,R+1_vs_Preflight,Inspiration4
MET_I4_0047,Histamine,HMDB00870,C00388,Histidine metabolism,Amino acids,-0.0693987624394841,0.2067300076930749,0.5842859682797332,96459.94,R+1_vs_Preflight,Inspiration4
MET_I4_0048,4-Imidazoleacetic Acid,HMDB02024,C02835,Histidine metabolism,Amino acids,0.1825943621961952,0.3290871786684615,0.655057892400667,31802.68083333333,R+1_vs_Preflight,Inspiration4
