metabolite_name,super_pathway,sub_pathway,HMDB_id,log2FC_R1,pvalue_R1,log2FC_R45,pvalue_R45,log2FC_R82,pvalue_R82,recovery_pattern
Alanine,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",HMDB00161,-0.128087871220748,0.3371082387081675,-0.1601211687953425,0.1830976144176287,-0.3839683377516998,0.0069689423209381,stable
Succinic Semialdehyde,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",HMDB01259,0.3757963981162013,0.2072854876380428,1.1752538005819602,0.0775422021058844,1.5699576966386384,0.0015531042043182,stable
4-Aminobutanoate (GABA),Amino acids,"Alanine, Aspartate, and Glutamate metabolism",HMDB00112,0.4615038782150104,0.0708183064146785,0.3199404524802006,0.3374886982331496,0.0046733507058366,0.98782833997018,stable
Asparagine,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",HMDB00168,0.0498516011164801,0.8666324414104536,-0.2077862089490491,0.5203303930949434,-0.6064556749329273,0.1120987933915254,delayed_onset
Glutamine,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",HMDB00641,0.0675746999884212,0.5641299942674743,0.0597604356647414,0.6070524584540853,0.0462902165895628,0.723887210272999,stable
Glutamic Acid,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",HMDB00148,-0.0775083691551461,0.8120065651202202,-0.3081496787827368,0.3237360488210486,-0.7186713525788612,0.0665472436136026,delayed_onset
3-Hydroxyglutaric Acid,Amino acids,"Alanine, Aspartate, and Glutamate metabolism, glutamate degradation",HMDB00428,-0.1750450057675243,0.6012306418479445,-0.0151134708116419,0.9676610063498224,0.0121231100115717,0.9749830003428788,stable
N-Acetylaspartic Acid,Amino acids,"Alanine, aspartate, and glutamate metabolism",HMDB00812,-0.0583427000725742,0.6584159761020905,-0.1460146329449917,0.2956359079422441,-0.1279346939024674,0.3216083138266307,stable
N-Acetylaspartiylglutamate (NAAG),Amino acids,"Alanine, aspartate, and glutamate metabolism",HMDB01067,-0.0441980303032136,0.8339675624999778,0.1347750440122008,0.4456739714360272,0.7811046890227453,0.0003160111227868,delayed_onset
Urea,Amino acids,Arginine and Proline metabolism,HMDB00294,0.0466988051455943,0.7003795842031473,-0.0683633447435803,0.5538048111914511,-0.0424382564097078,0.7206429564093109,stable
Creatinine,Amino acids,Arginine and Proline metabolism,HMDB00562,-0.2158317788638025,0.1095169869781242,-0.0302954278178531,0.6313000334579948,-0.0407023091107315,0.5478705098997696,stable
Proline,Amino acids,Arginine and Proline metabolism,HMDB00162,0.2301517472786091,0.1221612950908682,0.0289203733517664,0.8273476267964343,-0.1092026121404926,0.4462767476995871,stable
4-Hydroxy-Proline,Amino acids,Arginine and Proline metabolism,,0.4502551369756872,0.2184252273412333,0.0102377704174049,0.9802365256573486,-0.5347054055503477,0.2569807904870726,stable
Ornithine,Amino acids,Arginine and proline metabolism,HMDB00214,-0.6051121032006754,0.1124991821447169,-0.4150896809007369,0.2429746031369879,-0.4637055432732925,0.2093941087858948,persistent
Arginine,Amino acids,Arginine and Proline metabolism,HMDB00517,0.5412049359609572,0.117654916440871,0.2070512965515011,0.5720828106986435,0.4111658989531133,0.233343637327595,persistent
Citrulline,Amino acids,Arginine and Proline metabolism,HMDB00904,-0.4351670687571199,0.1029336289078906,0.0812036095706026,0.6994585943786457,0.0673473960610934,0.7452967951702173,stable
N-Acetydglutamic Acid,Amino acids,Arginine and proline metabolism,HMDB01138,-0.029061730740892,0.8844335220632403,-0.1016356801215822,0.6444210967586512,-0.278796293747566,0.1882003827186488,stable
Dimethylarginine,Amino acids,Arginine and Proline metabolism,HMDB03334,-0.2009603721560682,0.0775517623111691,-0.094340067657639,0.3146576877288667,-0.0570241237748155,0.5752790234685334,stable
Argininosuccinic Acid,Amino acids,Arginine and Proline metabolism,HMDB00052,0.2179859076300985,0.2444709525384556,-0.061520145974146,0.743151204148199,-0.0725508835132025,0.7111297489109218,stable
Phosphocreatine,Amino acids,"Arginine and Proline metabolism,Creatine metabolism",HMDB01511,-0.192889208911618,0.5978106277580069,0.0740838254679909,0.8157805058297549,0.2154848347594384,0.4942302746436902,stable
Guanidinosuccinic Acid,Amino acids,"Arginine and Proline metabolism,L-Arginosuccinate oxidation",HMDB03157,-0.080799866621507,0.511524440440249,-0.1401054738686176,0.2219079585726013,-0.1791808685046114,0.1481803735977397,stable
Pyrrole-2-Carboxylic Acid,Amino acids,Oxidation derivative of hydroxyproline,HMDB04230,,,-2.058439765802336,0.0359622645888855,0.916240861668985,0.2180532158643719,delayed_onset
Proline Betaine,Amino acids,"Arginine and Proline metabolism, osmolyte",HMDB04827,-2.0667614973867887,0.0925030845407876,-1.54700061147949,0.1405739441889516,-0.336662316147241,0.6313852496696164,full_recovery
Sulfite,Amino acids,Cysteine and Methionine metabolism,HMDB00240,0.0109583178680373,0.9809848377439788,-0.2051208224333798,0.6339332063395384,0.0756845144319816,0.8643095317912411,stable
Thiosulfate,Amino acids,Cysteine and Methionine metabolism,HMDB00257,-0.9226373867159526,0.1541402020319136,-1.1257714676524129,0.1027087563896406,-1.7236163121675296,0.039335279552425,persistent
Homocysteine Thiolactone,Amino acids,Cysteine and methionine metabolism,HMDB02287,-0.0856973791954095,0.7929634474789384,,,-0.1716003743854492,0.5151086857780834,stable
Methionine,Amino acids,Cysteine and methionine metabolism,HMDB00696,0.2091131078318054,0.1275573817502868,-0.0852772460556052,0.524234550533262,-0.1096903379714788,0.4215240835096312,stable
N-Formylmethionine,Amino acids,Cysteine and Methionine metabolism,HMDB01015,-0.045039537154022,0.8178526578371077,-0.0308998324280019,0.8815576346333931,-0.0629948339302917,0.748979087974986,stable
