metabolite_name,super_pathway,sub_pathway,log2FC_R1,pvalue_R1,log2FC_R39,pvalue_R39,recovery_pattern
Alanine,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",-0.2105715559277204,0.2738866305555317,0.0869257119489255,0.6557744559349334,stable
Succinic Semialdehyde,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",-0.4750263658925902,0.4417641065522764,-0.4487697318903991,0.4379408302386809,stable
Asparagine,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",-0.496532268994578,0.2751193887562611,0.1062681421323103,0.7907654060743873,stable
Aspartic Acid,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",-0.0497750549049408,0.852814299128218,-0.1241144066144521,0.665020655652353,stable
Glutamine,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",-0.5945147901162281,0.1140911371057757,-0.2202706578938525,0.492255502045558,full_recovery
Glutamic Acid,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",-0.0028381974982843,0.9931824794238092,0.2528881082873183,0.4653584253993635,stable
2-Hydroxyglutaric Acid,Amino acids,"Alanine, Aspartate, and Glutamate metabolism, glutamate degradation",-0.0474985887935023,0.8360225678685942,-0.0445311393864411,0.849676071235467,stable
N-Acetylaspartic Acid,Amino acids,"Alanine, aspartate, and glutamate metabolism",-0.1940614626885331,0.7459021321255098,-0.2773690267694738,0.6543751540120537,stable
Urea,Amino acids,Arginine and Proline metabolism,0.012554277622859,0.9586847561612116,-0.3657096709279696,0.162574878219388,stable
Creatinine,Amino acids,Arginine and Proline metabolism,-0.0995193106592638,0.745529541114827,-0.2371647659074521,0.4717513899744656,stable
Proline,Amino acids,Arginine and Proline metabolism,-0.6904555711500368,0.0936136357283239,-0.1695672788680744,0.5996998363769093,full_recovery
N-Acetylputrescine,Amino acids,Arginine and proline metabolism,-0.0058688230618547,0.8886406940917813,-0.0897659980353406,0.0298437923134477,stable
4-Hydroxy-Proline,Amino acids,Arginine and Proline metabolism,0.4354672186582283,0.4004510063313676,0.2264758202534892,0.6456546108544632,stable
Ornithine,Amino acids,Arginine and proline metabolism,-0.175413038417296,0.6460032973492719,-0.172595058240196,0.645188917453124,stable
4-Guanidinobutyric Acid,Amino acids,Arginine and proline metabolism,-0.2838156166548256,0.1590743774362979,-0.0718965235435784,0.6895560857968616,stable
Arginine,Amino acids,Arginine and Proline metabolism,-0.0069100433851039,0.9809054850201576,-0.0927444289020032,0.7510919922895675,stable
Citrulline,Amino acids,Arginine and Proline metabolism,0.0300328732105849,0.8399718916352981,-0.0581773663451931,0.719986970213889,stable
L-Monomethylarginine (LNMA),Amino acids,Arginine and Proline metabolism,-0.7800608929818443,0.088731357686189,-0.0660763231276698,0.8599750641762353,full_recovery
N-Acetylglutamic Acid,Amino acids,Arginine and proline metabolism,-0.9638229564874828,0.1217577034871675,-0.1769372491872897,0.7041760320856515,full_recovery
Dimethylarginine,Amino acids,Arginine and Proline metabolism,-0.292671734040726,0.100409456750989,-0.1977642450094346,0.2519034496934117,stable
Argininosuccinic Acid,Amino acids,Arginine and Proline metabolism,-0.0515726330846358,0.774589592115585,-0.1138837414589512,0.5307384947054896,stable
Pyrrole-2-Carboxylic Acid,Amino acids,Oxidation derivative of hydroxyproline,,,-0.707705003579462,0.6138188246425941,stable
Proline Betaine,Amino acids,"Arginine and Proline metabolism, osmolyte",-2.0523099440996844,0.1107914328779873,0.0418043458399495,0.9558096838775828,full_recovery
Thiosulfate,Amino acids,Cysteine and Methionine metabolism,-1.03026073917847,0.3083204311442313,-1.3610901730211122,0.2252094773089129,persistent
