metabolite_name,HMDB_id,pathway,super_pathway,log2FC_PD,log2FC_I4,pvalue_PD,pvalue_I4,padj_PD,padj_I4,concordant
Asparagine,HMDB00168,"Alanine, Aspartate, and Glutamate metabolism",Amino acids,-0.496532268994578,0.0498516011164801,0.2751193887562611,0.8666324414104536,0.5358035009419776,0.9514184856318494,FALSE
Creatinine,HMDB00562,Arginine and Proline metabolism,Amino acids,-0.0995193106592638,-0.2158317788638025,0.745529541114827,0.1095169869781242,0.9068675247999936,0.4683643946690702,TRUE
Acetylcarnitine,HMDB00201,Carnitine metabolism,Lipid metabolism,0.1812172753145605,0.3411790972151824,0.6907142331881059,0.3123789983587958,0.8608344027798343,0.6522357789806338,TRUE
PI 40:6,,Glycerophosphoinositols [GP06],Glycerophospholipids [GP],-0.0779696451188609,-0.2617529097374418,0.8783747359283887,0.7231742668754417,0.9689763258231,0.9059766510022896,TRUE
Leucine,HMDB00687,"Valine, leucine and isoleucine degradation/ biosynthesis",Amino acids,-0.1606787230757306,0.093094582857431,0.4079966102553438,0.6064187306710718,0.6534334180228053,0.836628725087066,FALSE
Dimethylarginine,HMDB03334,Arginine and Proline metabolism,Amino acids,-0.292671734040726,-0.2009603721560682,0.100409456750989,0.0775517623111691,0.3764494188759763,0.4393682020118479,TRUE
PC 28:0,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.6562319625437654,-1.1789334159133542,0.4642788079112704,0.0640718716032503,0.6884443029009145,0.4132029385853039,TRUE
Lysophosphatidic Acid,HMDB07855,"Glycerophospholipid metabolism, choline metabolism",Lipid metabolism,0.4123129860034312,0.1239410757256671,0.4733128776399631,0.410235361326503,0.6932851934003419,0.7144313054895768,TRUE
Uracil 5-Carboxylic Acid/Isoorotic Acid,,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,-0.3974196769909097,0.0546862592216989,0.5993901897849945,0.8802042192910595,0.779825174751199,0.9514184856318494,FALSE
Fucose,HMDB00174,Fructose and mannose metabolism; Glycan and glycoprotein component,Carbohydrate metabolism,0.1247296961893095,-0.3197324324800744,0.730835402045576,0.3383838104734143,0.8954507547393368,0.6635265153196083,FALSE
N-Acetydserine,HMDB02931,Amino acid acetylation,Amino acids,0.2080778532099377,-0.1476165722754252,0.287743174653642,0.3199203581671767,0.5485375927687254,0.6537848462414385,FALSE
