metabolite_name,norm_name,super_pathway,sub_pathway,HMDB_id,KEGG_id,CAS_id,formula,log2FC_PD_R1,pvalue_PD_R1,padj_PD_R1,log2FC_PD_R39,pvalue_PD_R39,padj_PD_R39,log2FC_I4_R1,pvalue_I4_R1,padj_I4_R1,log2FC_I4_R45,pvalue_I4_R45,padj_I4_R45,log2FC_I4_R82,pvalue_I4_R82,padj_I4_R82,concordant,avg_log2FC
Asparagine,asparagine,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",HMDB00168,C00152,70-47-3,C4H8N2O3,-0.496532268994578,0.2751193887562611,0.5358035009419776,0.1062681421323103,0.7907654060743873,0.9216437931952424,0.0498516011164801,0.8666324414104536,0.9514184856318494,-0.2077862089490491,0.5203303930949434,0.9475413111830084,-0.6064556749329273,0.1120987933915254,0.8581466701854294,FALSE,-0.2233403339390489
Creatinine,creatinine,Amino acids,Arginine and Proline metabolism,HMDB00562,C00791,60-27-5,C4H7N3O,-0.0995193106592638,0.745529541114827,0.9068675247999936,-0.2371647659074521,0.4717513899744656,0.8937009496165054,-0.2158317788638025,0.1095169869781242,0.4683643946690702,-0.0302954278178531,0.6313000334579948,0.9475413111830084,-0.0407023091107315,0.5478705098997696,0.9418937937821892,TRUE,-0.1576755447615331
Acetylcarnitine,acetylcarnitine,Lipid metabolism,Carnitine metabolism,HMDB00201,C02571,3040-38-8,C9H17NO4,0.1812172753145605,0.6907142331881059,0.8608344027798343,-0.4645715450238857,0.397818333555952,0.8937009496165054,0.3411790972151824,0.3123789983587958,0.6522357789806338,0.0875729971598652,0.8043044889407158,0.9614274913838028,0.2836029151160157,0.4735009916516469,0.9418937937821892,TRUE,0.2611981862648714
PI 40:6,pi40:6,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],,,,C49H86NO13P,-0.0779696451188609,0.8783747359283887,0.9689763258231,0.3988893650011896,0.4207809426653702,0.8937009496165054,-0.2617529097374418,0.7231742668754417,0.9059766510022896,-0.5113236033405575,0.5245047282623119,0.9475413111830084,-0.5894449039914428,0.4644728057372891,0.9418937937821892,TRUE,-0.1698612774281513
Leucine,leucine,Amino acids,"Valine, leucine and isoleucine degradation/ biosynthesis",HMDB00687,C00123,328-39-2,C6H13NO2,-0.1606787230757306,0.4079966102553438,0.6534334180228053,-0.3839645554597867,0.0831506421698887,0.8937009496165054,0.093094582857431,0.6064187306710718,0.836628725087066,-0.040068901285757,0.8376595139310264,0.969353406585131,-0.1449493962820747,0.4536700104793706,0.9418937937821892,FALSE,-0.0337920701091498
Dimethylarginine,dimethylarginine,Amino acids,Arginine and Proline metabolism,HMDB03334,,30344-00-4,C8H18N4O2,-0.292671734040726,0.100409456750989,0.3764494188759763,-0.1977642450094346,0.2519034496934117,0.8937009496165054,-0.2009603721560682,0.0775517623111691,0.4393682020118479,-0.094340067657639,0.3146576877288667,0.9475413111830084,-0.0570241237748155,0.5752790234685334,0.9545838741071268,TRUE,-0.2468160530983971
PC 28:0,pc28:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],,,,C36H72NO8P,-0.6562319625437654,0.4642788079112704,0.6884443029009145,0.2378841209806213,0.6804553097440391,0.9139608058986984,-1.1789334159133542,0.0640718716032503,0.4132029385853039,-0.0480627448386172,0.916259136955104,0.983740821045,-0.1359100767080148,0.7730294739137127,0.9947320575600496,TRUE,-0.9175826892285598
Lysophosphatidic Acid,lysophosphatidicacid,Lipid metabolism,"Glycerophospholipid metabolism, choline metabolism",HMDB07855,,22556-62-3,C21H41O7P,0.4123129860034312,0.4733128776399631,0.6932851934003419,-0.0994959489850886,0.8815906317969797,0.9416463138783092,0.1239410757256671,0.410235361326503,0.7144313054895768,-0.1127566431651001,0.449687265580492,0.9475413111830084,-0.1947412349485902,0.2132929314983919,0.8863701787212398,TRUE,0.2681270308645491
Uracil 5-Carboxylic Acid/Isoorotic Acid,uracil5carboxylicacid/isooroticacid,Purine  and pyrimidine metabolism/nucleotide metabolism,Pyrimidine metabolism,,C03030,23945-44-0,C5H4N2O4,-0.3974196769909097,0.5993901897849945,0.779825174751199,-0.1044526803763423,0.8800846174498687,0.9416463138783092,0.0546862592216989,0.8802042192910595,0.9514184856318494,-0.1783104372066643,0.6601924009941389,0.9475413111830084,-0.3861370539438388,0.3917537082021395,0.9269761010096572,FALSE,-0.1713667088846054
Fucose,fucose,Carbohydrate metabolism,Fructose and mannose metabolism; Glycan and glycoprotein component,HMDB00174,C01019,2438-80-4,C6H12O5,0.1247296961893095,0.730835402045576,0.8954507547393368,-0.4293385193357791,0.2607209732707068,0.8937009496165054,-0.3197324324800744,0.3383838104734143,0.6635265153196083,-0.0305653968712418,0.9224931430915612,0.983740821045,-0.3276306618815526,0.2707921653788112,0.9269761010096572,FALSE,-0.0975013681453824
N-Acetydserine,nacetydserine,Amino acids,Amino acid acetylation,HMDB02931,,97-14-3,C5H9NO4,0.2080778532099377,0.287743174653642,0.5485375927687254,0.2330763096497624,0.2398361524090082,0.8937009496165054,-0.1476165722754252,0.3199203581671767,0.6537848462414385,0.0226985542887144,0.8852475664814259,0.9781365830684796,0.2121312119817064,0.1208358047951735,0.8581466701854294,FALSE,0.0302306404672562
PE 34:1,pe34:1,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],,,26662-94-2,C39H76NO8P,-1.105703812006792,0.0566923787573836,0.3392006368211062,0.253490308832474,0.5403633055834947,0.8953345911408636,0.5368878127532982,0.6885203134812752,0.8703072871153323,-3.55365802862399,0.3328175121400309,0.9475413111830084,,,,FALSE,-0.2844079996267468
Glutamine,glutamine,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",HMDB00641,C00064,56-85-9,C5H10N2O3,-0.5945147901162281,0.1140911371057757,0.3829335506050237,-0.2202706578938525,0.492255502045558,0.8937009496165054,0.0675746999884212,0.5641299942674743,0.8287382000476577,0.0597604356647414,0.6070524584540853,0.9475413111830084,0.0462902165895628,0.723887210272999,0.9947320575600496,FALSE,-0.2634700450639035
PC 40:8,pc40:8,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],,,,C48H80NO8P,-0.2554656643427399,0.3161033187882933,0.5744416869956485,0.1645065069647252,0.4541146302812143,0.8937009496165054,-0.2933100349698136,0.0446914673858896,0.4113439141027806,-0.0690868210184018,0.5836481480728921,0.9475413111830084,-0.010802286335476,0.9308770467384452,0.9947320575600496,TRUE,-0.2743878496562767
PC 38:8,pc38:8,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],,,,C46H76NO8P,-0.428826863949675,0.0992026871393715,0.3764494188759763,-0.0670990191455713,0.7656730299110056,0.9216437931952424,-0.8564651310018933,0.1211685962728043,0.4683643946690702,-0.2541758371372192,0.5580943608904001,0.9475413111830084,0.0625109947279415,0.8714875401186373,0.9947320575600496,TRUE,-0.6426459974757841
Proline,proline,Amino acids,Arginine and Proline metabolism,HMDB00162,C00148,147-85-3,C5H9NO2,-0.6904555711500368,0.0936136357283239,0.3764494188759763,-0.1695672788680744,0.5996998363769093,0.9026025773280164,0.2301517472786091,0.1221612950908682,0.4683643946690702,0.0289203733517664,0.8273476267964343,0.964880738783374,-0.1092026121404926,0.4462767476995871,0.9418937937821892,FALSE,-0.2301519119357138
Bilirubin,bilirubin,Porphyrin metabolism,Porphyrin metabolism,HMDB00054,C00486,635-65-4,C33H36N4O6,0.0149937694225692,0.9784228869665272,0.9993027653760432,-0.4811454565548537,0.4513449405914034,0.8937009496165054,0.6146122110137677,0.2990490821040761,0.6515513817823106,0.4989753160187506,0.3536880876039719,0.9475413111830084,-0.1303437638094321,0.8139281498715659,0.9947320575600496,TRUE,0.3148029902181685
PE 38:6,pe38:6,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],,,,C43H74NO8P,0.0768844514292125,0.8885094271941595,0.9744179297694724,0.2691855379114312,0.5540641279416341,0.8953345911408636,0.30223622023407,0.5582723777716119,0.8255109586065473,-0.532042876407846,0.3767318729285369,0.9475413111830084,-0.4374315274767574,0.4558248826442012,0.9418937937821892,TRUE,0.1895603358316412
Threonine,threonine,Amino acids,"Glycine, serine and threonine metabolism",HMDB00167,C00188,72-19-5,C4H9NO3,-0.2980000713305132,0.4161708970636026,0.6565935020412774,-0.442913633811309,0.2384758414767432,0.8937009496165054,-0.2341041042883265,0.233789214189226,0.6059032010531085,-0.1476069327805739,0.4449176021875815,0.9475413111830084,-0.4232512343187117,0.0569022052285334,0.781112089955323,TRUE,-0.2660520878094198
Kynurenic Acid,kynurenicacid,Amino acids,Tryptophan metabolism,HMDB00715,C01717,492-27-3,C10H7NO3,-0.1964147873933542,0.5486790022629002,0.7452684585100727,-0.4455835641636139,0.2008047549373897,0.8937009496165054,-0.3283958017269264,0.1743162247176487,0.5497665548787385,-0.1078337293586491,0.631720414804471,0.9475413111830084,0.0116330265192005,0.962018505411386,0.9947320575600496,TRUE,-0.2624052945601403
Hippuric Acid,hippuricacid,Amino acids,Phenylalanine metabolism,HMDB00714,C01586,495-69-2,C9H9NO3,-2.385990368784546,0.17538401027414,0.4770142693231998,-0.2755753247241067,0.775913459037874,0.9216437931952424,-0.7789515422048541,0.4941410190386736,0.786575210304444,-0.7108647434290492,0.5229376349420457,0.9475413111830084,-0.1585848066219636,0.8655890977702644,0.9947320575600496,TRUE,-1.5824709554947
PI 38:2,pi38:2,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],,,,C47H90NO13P,-0.9156032085202463,0.0043256878793536,0.1436583711511672,0.2555514643761892,0.2865653324787552,0.8937009496165054,-0.6638985388085151,0.4250245839959874,0.7184386611018111,-0.5490091462326288,0.4217291742082458,0.9475413111830084,-0.200295056917502,0.7436963355337233,0.9947320575600496,TRUE,-0.7897508736643808
Paraxanthine,paraxanthine,Caffeine metabolism,Caffiene metabolism,HMDB01860,C13747,611-59-6,C7H8N4O2,-3.456047536549459,0.0415159786680273,0.3352311277389937,-0.4245194976658273,0.5586161198306122,0.8953345911408636,-0.0351055089140199,0.8815660140283332,0.9514184856318494,-0.0095742485900159,0.9642354019636924,0.983740821045,-0.0585460562069236,0.7637691449232016,0.9947320575600496,TRUE,-1.7455765227317397
Cytosine,cytosine,Purine  and pyrimidine metabolism/nucleotide metabolism,Pyrimidine metabolism,HMDB00630,C00380,71-30-7,C4H5N3O,-0.1003102745035131,0.2493596846111112,0.5243009334855013,-0.1696065284641801,0.0673297736799683,0.8937009496165054,-0.0438676992336731,0.8593529361930456,0.9514184856318494,0.1004884436239319,0.6743456537336856,0.9475413111830084,0.5334787785533184,0.0395539589304661,0.7085838955099125,TRUE,-0.0720889868685931
