gene,experiment_range_original_values,experiment_iqr_original_values,experiment_difference_original_values,experiment_fold_change_original_values,experiment_range_normalized_values,experiment_iqr_normalized_values,experiment_difference_normalized_values,experiment_fold_change_normalized_values,experiment_range_transformed_values,experiment_iqr_transformed_values,experiment_difference_transformed_values,experiment_fold_change_transformed_values,anova_max_diff,anova_max_fc,anova_F,anova_pval,anova_fdr,pre_norm_mean,pre_raw_mean,pre_transformed_mean,flight_norm_mean,flight_raw_mean,flight_transformed_mean,post_norm_mean,post_raw_mean,post_transformed_mean
AACS,246,43,48.22826086956522,5.28695652173913,398.3,71.6,71.75996376811595,7.3621689340036305,8.641329261745687,3.7154094507997586,3.165524936935864,2.3996374135265066,71.75996376811595,7.3621689340036305,8.852392241827296,0.00042123590274156797,0.02671670048740324,46.56470588235294,37.94117647058823,4.680425343558308,11.279166666666667,11.25,2.261674992639738,83.03913043478262,59.47826086956522,5.427199929575602
AC116050.1,115,33,31.269927536231886,7.003826086956522,202.5,35.0,53.29402173913045,15.16452405026723,7.668884984266247,5.169925001442312,3.1617632496486436,4.5930034816089975,53.29402173913045,15.16452405026723,11.238285603789185,6.995835712542142e-05,0.01505536669085518,21.835294117647063,16.58823529411765,2.751120531263685,3.7624999999999997,5.208333333333333,0.8799777862260133,57.05652173913045,36.47826086956522,4.041741035874657
AC135983.2,124,32,41.27536231884058,18.689440993788818,227.6,40.3,67.15869565217393,33.760339342523864,7.836681593327116,5.368069876532083,3.4340238192069643,5.9359589602627985,67.15869565217393,33.760339342523864,11.345862725978224,6.467598567039268e-05,0.014590141473291525,23.21764705882353,17.705882352941178,2.7563066694934393,2.0500000000000003,2.3333333333333335,0.6957156343585424,69.20869565217393,43.608695652173914,4.129739453565507
ADORA1,229,48,50.47101449275362,8.386002120890774,244.2,57.2,80.33532608695654,15.573301784481915,7.93781516880342,5.862947248020922,3.628720573044599,4.419290934976381,80.33532608695654,15.573301784481915,13.582800115051958,1.3210988901057874e-05,0.008342593863120869,32.88235294117647,23.88235294117647,3.0702663025427053,5.512499999999999,6.833333333333333,1.0612494350585775,85.84782608695654,57.30434782608695,4.6899700081031765
AGAP1,220,53,37.91304347826087,2.805383022774327,238.0,71.1,52.74501278772378,2.9539446881484075,7.90086680798075,3.2272336844059466,1.51250189078028,1.4075696395791106,52.74501278772378,2.9539446881484075,8.539063485378367,0.0005375435832746245,0.028635823947336995,26.994117647058825,21.0,3.7110268869443077,29.587500000000002,37.166666666666664,4.012582852190843,79.73913043478261,58.91304347826087,5.223528777724588
AGRN,168,37,33.71014492753623,3.3518705763397367,235.7,58.2,59.34239130434783,5.609117771211482,7.8869158958472525,5.887525270741588,2.7076563315942708,2.29499708150203,59.34239130434783,5.609117771211482,9.018306348971093,0.0003705068404760148,0.025851050451211537,25.28235294117647,19.352941176470587,2.9842435864264516,12.875,14.333333333333334,2.0908590222101027,72.21739130434783,48.04347826086956,4.798515353804373
AKT1,632,141,53.13768115942031,1.2916981582401847,559.3,200.70000000000002,154.9519927536231,2.0221388632292427,5.212719941183099,1.5844834387739049,1.3174674236691093,1.1941616754277038,154.9519927536231,2.0221388632292427,10.3033707502516,0.00013960977762927929,0.019219612720297447,185.1588235294118,195.64705882352942,7.33113769654031,151.59583333333333,182.16666666666666,6.7854143757616505,306.54782608695643,235.30434782608697,8.10288179943076
AKT2,412,68,-39.1421568627451,-1.5598401458318727,328.6,85.5,70.94655797101449,2.290621838326649,8.364572432295857,1.7520724865564148,1.1926341791345427,1.2257132718877206,70.94655797101449,2.290621838326649,7.288121933071,0.0014514704699868375,0.043731453161387934,103.98823529411766,109.05882352941177,6.45189732517979,54.97083333333333,69.91666666666667,5.283846045738105,125.91739130434782,104.08695652173913,6.476480224872648
AL133373.1,302,81,55.867753623188406,4.110965398971048,385.3,90.3,90.24456521739131,5.793868006235926,8.59357786734457,6.51254295509686,3.2480864080831493,2.565974650647977,90.24456521739131,5.793868006235926,8.391860926766062,0.0006031898365894683,0.029441147569535052,54.21176470588235,40.23529411764706,3.752140817669051,18.825,17.958333333333332,2.074162826798722,109.06956521739131,73.82608695652173,5.3222492348818715
AL133481.1,141,52,38.481884057971016,3.5512851309152054,304.1,60.6,75.97427536231883,6.309792104530145,8.253138369691294,5.944858445807539,2.9865612615814836,2.7870409312334803,75.97427536231883,6.309792104530145,11.319262665898792,6.594255574532415e-05,0.01459232251979252,22.08823529411765,16.176470588235293,2.6355887611636444,14.308333333333335,15.083333333333334,1.6712327117880008,90.28260869565217,53.56521739130435,4.657793973369484
