gene,mean_abs_log2fc,max_abs_log2fc,mean_base_expr,mean_lfcSE,mean_abs_wald,n_cell_types,n_contrasts,n_total_deg_entries,direction_consistency,label
A1BG,1.5745053433358474,2.57561683268813,153.56997796417585,0.310655846817169,3.585857381839347,3,8,11,0.8181818181818182,0
A1CF,1.6914984884539093,3.4709983905119,20.108057407738418,0.4248830274445174,3.830116197168913,2,10,11,0.9090909090909091,0
A2M,1.3852638208358785,2.35726718454324,370.4443269140852,0.3024781493860282,4.630794216325918,4,9,36,0.5555555555555556,0
A2ML1,1.3555597144771072,2.18814880127629,58.631828871144975,0.33407065817743975,3.7890288121205726,2,3,4,1.0,0
A2MP1,1.5383706558955685,2.86422409986859,110.74683885843655,0.3207304779002436,4.835710459791957,5,5,22,0.9090909090909091,0
A3GALT2,1.21638984943885,1.21638984943885,7.21782659603281,0.363683784177516,3.34463592373182,1,1,1,1.0,0
A4GALT,3.95727464371447,3.95727464371447,23.3876023715567,1.01952133042598,3.88150254988879,1,1,1,1.0,0
A4GNT,3.07193918808482,3.07193918808482,0.779828086588777,1.27296869558376,2.41320874483569,1,1,1,1.0,0
AAAS,1.085698443518051,1.39086259397036,237.602854432568,0.23831064841829003,3.3336827648094363,2,4,5,0.8,0
AACS,0.6136639729952037,0.836457388913712,350.4425906913834,0.19616775881758083,3.1944682421395534,3,4,6,0.6666666666666666,1
AACSP1,0.9082015477127025,1.22814869048122,33.121565222410965,0.2954313431016731,3.0863160677719184,2,4,6,1.0,0
AADACL3,1.555550855034905,1.88565949965269,8.325239284024665,0.5296938054604254,2.904928668033875,1,2,2,1.0,0
AADAT,2.7780691581643904,3.17831142923408,5.323703101950053,0.5454236288444977,3.21027665186725,1,2,3,1.0,0
AAED1,0.608840048989297,0.640820104725954,295.133896251524,0.20098157603182548,3.027245127470605,2,2,2,0.5,0
AAGAB,0.547313824544598,0.799731132733113,500.4059868519341,0.19587303111068466,2.7566375080883,2,2,3,1.0,0
AAK1,0.575896338567708,1.46974383787216,3951.328887406364,0.1284803645375883,4.42484661867005,5,7,31,0.5161290322580645,0
AAMDC,1.054435128401905,1.08282953949624,64.222903688331,0.2352056585870815,4.500412902189025,1,1,2,1.0,0
AAMP,0.5112909431385928,1.02542609583765,501.9209259137517,0.15348327149063504,3.3443482606485393,3,6,12,0.8333333333333334,0
AANAT,4.055226635297646,7.4445633098822,50.47954793042553,0.6928661480495988,3.8976165245538397,2,4,6,1.0,0
AAR2,0.3087390946707415,0.381288668870127,381.7068453439075,0.10654888810607342,2.88826359364067,1,4,4,1.0,0
AARD,3.0340083187200664,3.82210974053373,15.95077952075892,0.1810295929379318,4.210073276651636,1,3,5,1.0,0
AARS,0.568673473132726,0.87811507331704,678.0949189670686,0.18009004876873336,3.2092921988439853,2,2,2,0.5,0
AARS2,0.688241328103032,0.735795853088872,251.24570156871852,0.23620261377422247,2.963970067945305,2,2,2,1.0,0
AARSD1,0.385109805322677,0.385109805322677,141.930748799646,0.159198140324263,2.41905969842527,1,1,1,1.0,0
AASDHPPT,0.573614297997006,0.932055241244517,327.6409917423475,0.16284556768435576,3.4579881459256674,2,3,4,1.0,0
AASS,0.6139846614590883,1.59573616904133,124.3509445600198,0.11917352390821935,3.648697342647654,5,3,9,0.8888888888888888,0
AATF,0.923801805004318,0.923801805004318,486.068398679685,0.277107433832683,3.33373158643628,1,1,1,1.0,0
