gene,fc_pre_vs_flight,fc_pre_vs_post,fc_flight_vs_post,label
5S_rRNA_4,1.70998925871196,2.95792219393353,1.72978992637742,0
7SK_1,-3.83206513022082,-3.83206513022082,1.0,0
A1BG,2.05787042763026,-1.10498635738683,-2.27391874780124,0
A1BG-AS1,8.87095517811056,15.1333760272511,1.70594662281615,0
A1CF,1.49665893702096,-1.14236776334955,-1.70973492238175,0
A2M,-1.10090464797285,1.45927070724797,1.60651790425991,0
A2M-AS1,-1.38325870261877,-1.68344099982213,-1.21701095871298,0
A2ML1,-5.81897258030859,4.06971493610677,23.6815596228776,0
A2ML1-AS2,-2.69039422418496,-1.37888266775878,1.95114079471163,0
A2MP1,2.73138732510672,-3.12602010849605,-8.53837170237485,0
A3GALT2,-7.86129922723839,6.01287275954827,47.2689919781196,0
A4GALT,-7.05757432834818,1.8410942159799,12.99365927477,0
A4GNT,-5.25643816679124,-5.25643816679124,1.0,0
AAAS,-1.26122244252836,-1.24094851258446,1.0163374465083,0
AACS,-3.79529877187023,1.57369265243817,5.9726337910998,0
AACSP1,1.92533672756126,1.36844532642491,-1.40695188209765,0
AADACL3,-25.0473844563314,1.46952687362043,36.8078045724816,0
AADACL4,-11.3915046668145,2.49827657935398,28.4591293127043,0
AADAT,1.0,32.6489744218714,32.6489744218714,0
AAED1,1.20964817316717,1.42965528875611,1.18187694609822,0
AAGAB,-1.24246754700367,-1.07991382460891,1.1505247165936,0
AAK1,-1.08176991070316,-1.16837032991422,-1.08005437972921,0
AAMDC,-1.75951745202593,-1.42883616648806,1.23143401132591,0
AAMP,-1.37481823206373,-1.07447486760896,1.27952572322434,0
AANAT,-3.13355371611972,2.74781327271083,8.61042049190612,0
AAR2,1.43406384602887,-1.01871083816056,-1.46089638256382,0
AARD,-1.04375128000963,1.46945385841197,1.53374434563258,0
AARS,-1.93783381815611,-1.19273338671654,1.62469990337969,0
AARS2,-1.27555782752243,-5.56247006188107,-4.3608137097832,0
AARSD1,1.3071444472887,-1.42624234881493,-1.86430476674142,0
AASDH,1.03495981698122,-1.30379810870229,-1.34937865196298,0
AASDHPPT,1.30217853440361,1.7597218957017,1.35136761143712,0
AASS,4.64967511004046,8.68883635316068,1.86869752133823,0
AATF,-1.03469437986133,1.09483705358084,1.13282174620404,0
AATK,-2.5561161485849,1.36521222955433,3.48964102620943,0
AATK-AS1,-16.5822853567443,1.517644176797,25.1660088096492,0
ABAT,1.28712998567618,1.23712596734874,-1.04041950427619,0
ABC7-42389800N19.1,1.00765656364081,-3.88922210473034,-3.91900018128845,0
ABCA1,-1.48818157547265,-1.17640705140812,1.26502265834886,0
ABCA10,1.4989806285864,1.35940946937024,-1.10267043327336,0
ABCA11P,-5.35426818774892,1.10445870432584,5.91356810525424,0
ABCA12,1.0,2.91300908706042,2.91300908706042,0
ABCA13,-2.71682501610284,1.41944269083894,3.85637741139557,0
ABCA17P,1.52411955944423,3.5795480339443,2.34860054892911,0
ABCA2,-1.39388713267106,-1.3495338108649,1.03286566179305,0
ABCA3,-1.20073309923551,-1.34456805354536,-1.1197892807331,0
ABCA4,2.0916678351755,14.0120987033249,6.69900758986872,0
ABCA5,1.0414070986353,-1.32786475110348,-1.38284777782675,0
ABCA6,-2.06567122301063,1.07564709987154,2.22193326031948,0
ABCA7,-1.09752782419103,-1.96953063945602,-1.79451545195014,0
ABCA8,7.85950649350535,13.1040127017562,1.66728187228862,0
ABCA9,3.37199112052909,-2.63115023302341,-8.87221522253298,0
ABCB1,-1.40716033122585,-2.16357421093666,-1.53754633564169,0
ABCB10,1.10030499321975,1.41551691484652,1.28647686193297,0
ABCB11,-2.05843842115505,-2.05843842115505,1.0,0
ABCB4,4.60288008058262,1.95548075716287,-2.35383552802675,0
ABCB5,-6.10703196103136,6.68600831345569,40.8316664619953,0
ABCB6,3.06891632947418,5.33681082752113,1.73898870303692,0
ABCB7,-1.47235860694298,-1.74776245687045,-1.18704943797577,0
ABCB8,-2.68957375002162,1.49551240778878,4.02229091482033,0
ABCB9,-1.88600052379259,3.27739850193577,6.18117529132793,0
ABCC1,1.32251904210248,-1.99482795008918,-2.63819794971121,0
ABCC10,-1.25094251130635,1.01190037069099,1.26582919090401,0
ABCC11,-59.4823425458881,1.85647409729869,110.427428183089,0
ABCC12,-7.67592598657073,-1.42855249154854,5.37321941754487,0
ABCC13,-2.35665121108958,1.26397619090956,2.97875102109542,0
ABCC2,1.63146154373931,5.92404085260052,3.63112503346087,0
ABCC3,1.35994056713866,-2.33839424723723,-3.1800771987816,0
ABCC4,1.70831594853761,-1.98341274335267,-3.38829562200211,0
ABCC5,-1.09584281355954,-2.03860644944084,-1.86030918322947,0
ABCC5-AS1,3.45509730696384,4.87576818695169,1.4111811488274,0
ABCC6,-2.38041486708905,-1.78538974103722,1.33327464159515,0
ABCC6P1,-3.37744277707504,-10.5845473938466,-3.13389392284925,0
ABCC6P2,1.0,5.7556281947047,5.7556281947047,0
ABCC8,-7.44711130010729,-1.15248114144408,6.46180751450383,0
ABCC9,3.05676644949537,6.84398239294847,2.2389614993577,0
ABCD1,-1.54741293229567,1.35761041547057,2.10078391391846,0
ABCD1P2,-15.4643154880802,1.59661072455503,24.6904919561713,0
ABCD1P3,-1.52772023301634,19.9574810492906,30.4894475990414,0
ABCD1P4,2.5579872210596,-4.11449011384502,-10.5248131323916,0
ABCD1P5,-31.2126296037531,-5.56215210129589,5.61161022484104,0
ABCD2,-2.32473126013629,-13.996984726026,-6.02090442282149,0
ABCD3,-1.02973182049827,-1.80983661365511,-1.75758054439783,0
ABCD4,-1.35304360059411,1.17368506424174,1.58804706528517,0
ABCE1,-1.03831477149726,-1.22187621265215,-1.17678785489124,0
ABCF1,1.15377453870273,1.0479244822521,-1.10100924087884,0
ABCF2,-1.05693809858347,1.05573293081185,1.11584435650423,0
ABCF3,-1.56109862768615,1.11312100965195,1.73769168061627,0
ABCG1,-2.05339966653309,1.21866567171423,2.50240768391332,0
ABCG2,-1.46849473323771,1.30067889389615,1.91004010531995,0
ABCG4,-25.5935854328875,1.84067700344007,47.1095241418947,0
ABCG5,-8.93355736354228,7.59575249937656,67.8570906724501,0
ABCG8,-18.737261243814,3.21039921545079,60.1540887968369,0
ABHD1,-2.24189250204378,-1.17674225532136,1.90516869085452,0
ABHD10,1.54982876507606,1.33404038688511,-1.16175550628929,0
ABHD11,2.78119705622038,1.50826301298131,-1.84397351939496,0
ABHD12,-1.51310673238297,1.32224465457563,2.00069728869579,0
ABHD12B,1.30961672345212,1.0,-1.30961672345212,0
ABHD13,1.44082079050486,-1.17385242151391,-1.69131097390172,0
ABHD14A,-1.03192334322362,2.2273649965002,2.29846993376775,0
ABHD14A-ACY1,4.44854179601715,3.28505557443368,-1.35417550638669,0
ABHD14B,3.08305724728389,3.58786279634875,1.16373537971427,0
ABHD15,6.24811992394003,13.7087797993938,2.19406476928649,0
ABHD16A,2.56064107498668,1.11460654180595,-2.29734976329655,0
ABHD16B,-1.28956641260925,-1.41910111736259,-1.10044826190165,0
ABHD17A,1.15458194303495,1.22529389735275,1.06124463901794,0
ABHD17AP3,-2.91061637354942,2.59897624745529,7.56462282030939,0
ABHD17AP4,-7.54487111260424,4.33159436512538,32.6813211969538,0
ABHD17AP5,-2.84995019032175,2.8940945028146,8.2480251791056,0
ABHD17AP6,4.29509233594216,1.64303306825898,-2.61412409702344,0
ABHD17B,1.06381148851509,1.03894219829758,-1.02393712591351,0
ABHD17C,-2.22453495434012,2.74227241474528,6.10028084092356,0
ABHD2,1.19123402461238,1.05462346683218,-1.12953491182075,0
ABHD3,-1.09508355073003,-1.6817047078018,-1.53568621013502,0
ABHD4,1.41023820422864,-1.31957676400758,-1.8609175660159,0
ABHD5,2.04383364224387,1.58495573370479,-1.28952096186716,0
ABHD6,1.15305224924647,1.21675718184582,1.05524895566614,0
ABHD8,-2.39596298630885,1.5527945795129,3.72043833785393,0
ABI1,1.46887414215095,-1.65875013557948,-2.43649518244209,0
ABI2,-1.01188480158576,-1.60403184929115,-1.58519215505304,0
ABI3,1.39322896699956,1.40332774050648,1.00724846650918,0
ABI3BP,-1.62315132678219,1.18438721624504,1.92243968147199,0
ABL1,-1.07547430268887,1.33296445805317,1.43356902103378,0
ABL2,1.14971751972253,1.4534994831706,1.26422313154051,0
ABLIM1,1.10054821674948,-1.05849325992433,-1.16492286965107,0
ABLIM2,-1.5718872092333,3.17734659642695,4.99443047422449,0
ABLIM3,1.80968962114232,-1.0215517562213,-1.8486916106934,0
ABO,-1.16197508107773,2.47582679612828,2.87684904216558,0
ABR,1.00851739892804,1.18604613788928,1.17602942611593,0
ABRA,-13.0706057072026,4.43467153313969,57.9638430506245,0
ABRACL,1.05117439033003,-1.00284019535004,-1.05415993094552,0
ABT1,1.52486493297909,1.43292116589885,-1.06416526552078,0
ABTB1,1.14048972768689,1.25696755200856,1.10212965666767,0
ABTB2,-8.62483982239936,2.68238999900468,23.1351840826213,0
AC000032.2,5.22791154899743,1.0,-5.22791154899743,0
AC000036.4,-22.125831505272,-1.47329968535637,15.0178756740318,0
AC000041.8,2.61477876978776,1.0,-2.61477876978776,0
AC000067.1,-2.005809842273,-2.005809842273,1.0,0
AC000068.5,-16.5773845125172,-1.04691889042567,15.8344497019984,0
AC000077.2,1.0,8.25578456882407,8.25578456882407,0
AC002115.5,-1.45625444544399,-1.45625444544399,1.0,0
AC002116.7,1.0128746222603,1.05304128643055,1.03965610677521,0
AC002116.8,3.11269250822923,1.0,-3.11269250822923,0
AC002127.4,-5.06280827117595,-5.06280827117595,1.0,0
AC002306.1,1.0,8.90726014915725,8.90726014915725,0
AC002310.12,1.27585596148838,1.52622609570158,1.19623699051508,0
AC002310.7,1.41603106380372,6.18309556703869,4.36649712360813,0
AC002368.4,-1.70999252102919,4.02574620262118,6.88399589804385,0
AC002398.11,1.0,1.86560695921158,1.86560695921158,0
AC002398.12,-2.50078802199089,-2.50078802199089,1.0,0
AC002398.5,-2.19060492989516,2.00221925922067,4.38607137997983,0
AC002398.9,-2.49656331867792,-7.41830317910475,-2.97140598181711,0
