pathway,mean_NES,std_NES,mean_ES,mean_padj,min_padj,n_celltypes,mean_size,direction_consistency,label
ABE_INNER_EAR,-1.7584595555555556,0.055359571896175054,-0.9160277666666666,0.0012915555555555553,0.00029,9,43.0,1.0,1
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP,-1.4551293333333335,0.15222564705024802,-0.5345360666666666,0.005751421833333333,6.01e-07,6,835.0,1.0,1
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN,1.4094764285714285,0.06696699264527549,0.6212608142857142,0.007130857142857143,0.000106,7,701.0,1.0,1
ANDERSEN_LIVER_CANCER_KRT19_UP,-1.7241017777777778,0.037452179074714015,-0.932412788888889,0.005617111111111111,0.000452,9,33.0,1.0,0
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP,1.51881425,0.15934610646927228,0.812331975,0.02218275,0.000431,4,58.0,1.0,0
BENPORATH_MYC_MAX_TARGETS,-1.5961364285714286,0.12174029212885543,-0.5855973142857144,9.650441142857144e-05,2.88e-09,7,742.0,1.0,1
BENPORATH_MYC_TARGETS_WITH_EBOX,-1.873049875,0.054831905199794834,-0.7676636125,2.10357375e-05,1.39e-08,8,218.0,1.0,1
BENPORATH_SUZ12_TARGETS,1.372345,0.0861763375933324,0.5612262666666666,0.009854666666666666,0.000304,3,883.0,1.0,1
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN,-1.7436924999999999,0.06450998339349169,-0.764636025,0.004857625,0.000232,8,118.0,1.0,1
BHATTACHARYA_EMBRYONIC_STEM_CELL,-1.727725125,0.02678999601897004,-0.816453725,0.007277625,0.000551,8,79.0,1.0,1
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2,-1.8086096666666667,0.023746070722332167,-0.8680441777777778,0.0017993222222222223,2.99e-05,9,68.0,1.0,1
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES,-2.0392463333333333,0.10246404819008477,-0.9763796444444446,2.746982222222222e-13,1.84e-16,9,68.0,1.0,1
BILANGES_SERUM_RESPONSE_TRANSLATION,-1.7556385555555556,0.07363328006090583,-0.9533166666666667,0.0009926111111111112,3.85e-05,9,32.0,1.0,1
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP,1.383658,0.03456055103727364,0.6163809499999999,0.0411,0.0377,2,362.0,1.0,0
BONOME_OVARIAN_CANCER_SURVIVAL_SUBOPTIMAL_DEBULKING,1.4053760000000002,0.02972823765378629,0.6395865833333333,0.014938333333333333,0.00799,6,488.0,1.0,1
BOUDOUKHA_BOUND_BY_IGF2BP2,-1.751275375,0.06813582073421443,-0.7914895,0.006231625,0.000113,8,102.0,1.0,1
BROWNE_HCMV_INFECTION_14HR_DN,1.4209035,0.016343136224931488,0.69589605,0.0198775,0.00401,4,268.0,1.0,0
BROWNE_HCMV_INFECTION_20HR_DN,1.49485175,0.07029878384616618,0.7485421999999999,0.027250000000000003,0.013,4,94.0,1.0,1
BRUINS_UVC_RESPONSE_LATE,1.2969948,0.04972699434110206,0.6264347600000001,0.014988000000000001,0.00106,5,1092.0,1.0,1
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_A,1.3245475,0.02668550281519925,0.5416015000000001,0.02625,0.0155,2,821.0,1.0,1
CAIRO_HEPATOBLASTOMA_CLASSES_UP,-1.6918888571428572,0.12470543298566765,-0.6299714571428572,1.5730066428571428e-05,2.16e-10,7,599.0,1.0,1
CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_DN,-1.825374875,0.05807477743746173,-0.8258028625,0.002234028875,6.91e-07,8,101.0,1.0,1
CHICAS_RB1_TARGETS_LOW_SERUM,-1.712941625,0.08428899197563026,-0.782325275,0.0138753875,3.61e-05,8,95.0,1.0,1
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP,-1.929313,0.10495489076860598,-0.9691874999999999,3.1603744444444444e-07,1.79e-10,9,52.0,1.0,1
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3,1.325441,0.01918380697359087,0.5615168500000001,0.03915,0.0299,2,700.0,1.0,1
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5,1.435351,0.0,0.562213,0.0116,0.0116,1,480.0,1.0,1
CUI_TCF21_TARGETS_2_DN,1.5329651111111113,0.1416470676685935,0.6903026888888889,3.002339376666667e-07,4.39e-13,9,825.0,1.0,1
DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN,1.696266,0.19552753374652884,0.7803673444444444,5.452050819333333e-13,2.84e-20,9,457.0,1.0,1
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN,1.7246894444444445,0.21551364238378914,0.7731581888888889,3.0461874645633336e-22,2.3600000000000002e-32,9,845.0,1.0,1
DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_DN,1.4917085,0.12887439335259743,0.795101525,0.013264999999999999,0.00127,8,84.0,1.0,1
DACOSTA_UV_RESPONSE_VIA_ERCC3_UP,-1.66516525,0.15306452276712773,-0.660740725,0.0080350802,6.6e-09,8,308.0,1.0,1
DACOSTA_UV_RESPONSE_VIA_ERCC3_XPCS_DN,1.4912285,0.09568029845719096,0.7933051875,0.0110025,0.00233,8,84.0,1.0,1
DANG_MYC_TARGETS_UP,-1.9880984444444445,0.05308955183487404,-0.8595857444444444,6.3869511111111115e-06,8.66e-09,9,128.0,1.0,1
