gene,AACS,AC116050.1,AC135983.2,ADORA1,AGAP1,AGRN,AKT1,AKT2,AL133373.1,AL133481.1,ALAD,ALAS2,ALDH1L1,ALDH3B1,ALPK3,AMD1,AMER2,ANKRD28,ANKRD30BL,ANKS6,ANO6,APBB2,APLF,APP,AQP6,ARHGAP10,ARHGAP18,ARHGAP23,ARHGAP4,ARMC5,ARMC8,ASAP2,ASB1,ASGR2,ASIC2,ASPH,ASPSCR1,ATP6V1E1,ATP8A1,B2M,B3GAT1,BAGE2,BCAR1,BCAT2,BEGAIN,BEND2,BPGM,BRPF3,BSN,BTNL9,C19orf47,C1QL3,C2orf88,C6orf132,CACNA1A,CACNG8,CALHM2,CAMK2B,CAMKK1,CAPN10,CCDC175,CCDC177_2,CCDC78,CCER1,CD226,CD9,CDC42BPG,CDKAL1,CDS1,CECR7,CELSR3,CENPF,CEP170B,CEP70,CHADL,CHD9,CHRNA4,CHST1,CLCN3,CLDN19,CLU,CNST,CNTLN,CNTNAP4,COL27A1,CORO1C,COX6B2,CXCL5,CXCR2P1,CYP2S1,DAD1,DAPP1,DCAF11,DGKE,DIO3OS,DLG5,DLX5,DNAJC16,DNM1P51,DNM3,DOCK6,DPH7,DPP6,DTX1,DYNLRB1,EGF,EIF4G3,ELAC2,ELFN1,ELOVL7,EPPK1,ESPNL,EVPL,F13A1,F5,FAM131B,FAM186A,FAM43B,FANCL,FCGBP,FER1L4,FGD5,FGD5P1,FHDC1,FIP1L1,FOXE1,FZD5,GBA2,GDPD5,GNA14,GOLGA6L1,GOLGA6L2,GOLGA6L3,GP1BA,GPC4,GPR133,GPR179,GPR26,GPRIN2,GRAP2,GRID1,GRIN2C,GRIN3B,GRIP2,GRM2,GRM4,GSAP,GTDC1,GTF3C5,GTPBP6,GUCY1B3,H19,HBA1,HDAC9,HELZ2,HERPUD2,HEY2,HGD,HIC2,HIF1AN,HIST1H2AC,HLA-A,HR,HYDIN,IBA57,IGF2BP3,IGFN1,IGSF9B,ISLR2,ISPD,ITGB1,ITGB3_1,ITM2B,JAM3,KANK2,KCNA7,KCNJ12,KCNMA1,KCTD17,KIAA0195,KIAA1211,KIAA1614,KIF1A,KIF2A,KLHDC1,KLHL29,KLHL3,KRT2,KRT78,KRT9,LAT,LCOR,LDOC1L,LEPR,LEPREL2,LEPROT,LETM1,LIMS1,LINC00265,LINC00989,LINC01002,LIPA,LMLN,LTBP1,LYPLAL1,LZTS1,LZTS3,MAGI1,MAP3K5,MAP3K7CL,2-Mar,MAX,MBTD1,MCC,MCF2L,MCUR1,MED12L,MEIS3,MEMO1,MICALL1,MICALL2,MKI67,MMD,MMRN1,MN1,MORC1,MSANTD3,MT-ATP6,MT-ATP8,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,MT-ND6,MTRNR2L12,MUC12,MUC16,MUC2,MUC21,MUC3A_1,MUC4,MUC5B,MUC6,MXI1,N4BP3,NACAD,NCOA5,NDUFA5,NEAT1,NEXN,NFAM1,NFIC,NKX2-4,NPBWR1,NPHP4,NPR1,NR4A1,NRGN,NRXN2,NT5C3A,NYNRIN,OBSCN,ODF3L1,OGFOD3,ONECUT3,OPA3,ORC4,OSBP2,OSR1,OST4,PANX2,PARD3,PARN,PAX2,PAX6,PCGF5,PCLO,PDE5A,PDXK,PDZD2,PGRMC1,PHLDB1,PHYHIP,PIM1,PITHD1,PITPNM3,PITX2,PKD1L2,PKHD1L1,PKN2,PLEKHG4B,PLXNB1,POLE2,PPBP,PPFIA1,PPIL2,PPP2R2C,PPP2R2D,PPP2R3B,PRG4,PRKAR2B,PRKCZ,PROM2,PROX1,PRR21,PSMG1,PTGS1,PTPLAD2,PTPRJ,PYGL,R3HCC1,RAB27B,RAB37,RADIL,RAI1,RANBP9,RAP1B,RAPGEF3,RASA1,RBFOX3,RBM20,RBM28,REM2,REXO1L1P,RGS18,RHBDD1,RHBDF1,RHOBTB1,RHOBTB3,RNF2,ROBO3,RP11-1055B8.7,RP11-1217F2.15,RP11-24M17.5,RP11-274B21.1,RP11-290F20.3,RP11-384K6.6,RP11-404K5.2,RP11-469N6.1,RP1L1,RPA1,RPS6KL1,RRP12,RSU1,RXRA,RYR1,SASH1,SCN4A,SDK1,SDPR,SELENBP1,SEMA3B,SEMA6A,SGK1,SH3BGRL,SH3BGRL2,SH3BP4,SHANK2,SHANK3,SHH,SHISA7,SHMT2,SLC1A5,SLC22A11,SLC24A3,SLC25A37,SLC2A3,SLC34A1,SLC37A1,SLC4A1,SLITRK5,SMAD7,SOHLH1,SOX21-AS1,SPARC,SPATA31C2,SPCS3,SPEG,SPPL3,SPTBN4,SRCIN1,SRGN,SSC5D,SSPO,STARD9,STRN3,SULT1A1,SUSD1,SVIP,TACC2,TAGLN2,TARSL2,TBC1D16,TBX1,TBX18,TBX3,TCHH,TEKT4P2,TESK1,TET3,THBS1,THRA,TICAM1,TLK1,TMEFF1,TMEM106C,TMEM165,TMEM179,TMEM201,TNFSF4,TNKS1BP1,TNS1,TOB2,TPP1,TRAK2,TRAPPC2,TRIB2,TRIM24,TRIM29,TRIM41,TRIM71,TSPAN17,TSR2,TTBK1,TUBB1,UBAP2,UBE2F,UBE2I,UBE2O,UGGT1,UHRF1BP1,UIMC1,UNC5B,USB1,UTY,UXS1,VCL,VDAC3,VEGFA,VPS13A,VWA1,WDR11-AS1,WDR41,WDR44,WRB,WTIP,XIRP1,YPEL5,ZBTB47,ZDHHC12,ZDHHC18,ZFAND3,ZNF213,ZNF271,ZNF496,ZNF541,ZNF618,ZNF768,ZSWIM4,ZXDC
MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Platelet activation, signaling and aggregation",,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,Y,,,,,Y,,,,,,,,Y,Y,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,Y,,,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,Y,,,,,Y,Y,,,,,,,,,,Y,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,
Chemical carcinogenesis - reactive oxygen species,Y,,,,,,Y,Y,,,,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,,Y,,Y,,,Y,,,,,,Y,,,,,,,,Y,,,Y,,,,,,,,,,,Y,,,Y,,,,,,Y,,,,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,Y,,Y,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,Y,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,,,Y,,,,Y,,,,,,,,,,Y,,,,,,,,Y,Y,,,,,,,Y,,,,,,,Y,,,,,,,,,Y,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,Y,,,,,Y,,,,Y,,,,,,,Y,,,,,,,Y,,,,,Y,,,,,,Y,,Y,Y,,,,Y,,,,,,,,,,,,,,,Y,,
cell junction organization,,,,,,Y,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,Y,,,,Y,,,,,,,,,Y,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,Y,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,
ameboidal-type cell migration,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,Y,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
behavior,,,,Y,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,Y,Y,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,
inorganic ion transmembrane transport,,,,Y,,,,,,,,Y,,,,,,,,,Y,,,Y,Y,,,,,,,,,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,Y,Y,Y,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,Y,,,,,,,,,Y,,Y,Y,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regulation of cell junction assembly,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,Y,,Y,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,
cell morphogenesis,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,Y,,,,,,,,,,Y,,Y,Y,,,,,,Y,,,,,,,,,,,Y,,Y,,,,,,,,Y,,Y,,,,,Y,,,,,Y,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,
