Category,Term,Count,%,PValue,Genes,Fold Enrichment,FDR
HPA_RNA_TISSUE,brain,113,31.2154696132596,6.30569599256143e-11,"RAB3B, CHRM3, KCNG2, MT-ND4L, PHLDB1, ATP8A2, MT-ND5, MYT1L, MT-CO1, CPNE7, MT-ND2, CELSR2, CDH8, CNDP1, MT-ND1, RPH3A, MSANTD1, SALL3, TBC1D30, PIEZO2, SLC16A8, NCKAP5, LZTS1, ST6GAL2, SHISA9, SRCIN1, KCTD8, HECW1, KCNQ2, HHIPL1, MT-CO2, MT-CO3, ASTN1, CACNA1B, CACNA1G, NEUROD2, OTOF, NPTX1, SRGAP3, KCNN3, RIMKLA, RHBDL3, KIAA0319, TMEM132D, KCNF1, SPHKAP, DNAH17, TMEM132B, DCLK3, HSPA2, GRIN2B, ZFHX4, RPE65, XKR7, TH, COL9A2, FGF13, GPR26, PTGDR2, GRIK3, OTUD7A, MTRNR2L6, AATK, CHD5, MTRNR2L7, MTRNR2L8, NR2E1, SLC6A1, NAT16, UNC80, NCS1, HYDIN, COBL, KSR2, KIF6, CIT, DMRTA2, GPRC5B, CCNI2, MAPT, SHANK3, CRYAB, CERS1, CAMK2B, NRXN3, NRXN2, ADCY2, DNAH9, ADCY1, ACAN, CUX2, CNNM1, SV2B, SLC17A7, CSMD3, CTNNA2, MAPK4, COL26A1, KCNJ12, MTRNR2L13, CADPS, KIAA1549L, LHFPL4, IRGM, GCK, TTLL7, NFASC, SYT12, PPP2R2C, FAM131C, KIF26B, RIMBP2, UNC79",1.74457173435538,2.08087967754527e-09
HPA_RNA_TISSUE,heart muscle,28,7.73480662983425,2.9037024182133e-06,"MT-ND6, MT-ND4L, MT-ND4, MT-ND5, MT-CO1, CACNA1C, SRL, MT-ND2, FBLN2, MT-ND3, CLGN, MT-ND1, MT-ATP6, FBXO40, SCN5A, NKX2-5, RHBDL3, SPHKAP, SORBS2, GCK, WNK2, MT-CO2, TACC2, MT-CO3, MT-CYB, CRYAB, NES, MYH6",2.7698908516444,4.79110899005195e-05
HPA_RNA_TISSUE,pituitary gland,20,5.52486187845303,7.98099816334685e-05,"RAB3B, ATP8A2, MYT1L, CPNE7, CACNA1B, GRIK3, CHD5, LHFPL4, KSR2, TBX19, GCK, NAT16, UNC80, DMRTA2, XKR7, MYO15A, RIMBP2, COL9A2, KIAA0319, UNC79",2.83987837559266,0.000877909797968154
HPA_RNA_TISSUE,thyroid gland,11,3.03867403314917,0.00728992001136643,"TPO, ST6GAL2, FNDC1, IYD, SALL4, KLRG2, SORBS2, FHDC1, RAP1GAP, FREM2, NAT16",2.7172090729783,0.0601418400937731
HPA_RNA_TISSUE,retina,29,8.0110497237569,0.011620959967901,"ANKRD37, ATP8A2, NRXN3, ADCY1, NR2E1, SLC6A1, IGSF9, NAT16, UNC80, SV2B, SLC17A7, CTNNA2, SRGAP3, RIMKLA, RHBDL3, GPR179, CADM1, DNAH17, PLA2G4C, CADPS, SHROOM2, LHFPL4, RPE65, KCTD8, XKR7, PRPH2, SSX2IP, ASTN1, CNGB1",1.62066954687436,0.0766983357881471
HPA_RNA_TISSUE,choroid plexus,20,5.52486187845303,0.0157224525530211,"KCNF1, DNAH11, MTRNR2L13, MTRNR2L6, ATP2B3, OGDHL, DNAH9, MTRNR2L8, NR2E1, RPE65, GCK, NEUROD2, CUX2, PLEKHG4B, HYDIN, FAT1, TRPM3, CERS1, SHANK2, CCDC40",1.79553600521342,0.0864734890416163
HPA_RNA_TISSUE,skeletal muscle,33,9.11602209944751,0.0214833564768356,"CAMK2B, RYR1, MT-ND6, SLC22A3, MT-ND5, MTRNR2L6, ADCY2, MTRNR2L8, SRL, FBXO40, ABLIM2, DNAJB5, NPHP1, TNNI1, ACADS, SEMA6C, AFAP1L1, MYBPC2, KCNJ12, PLA2G4C, MTRNR2L13, COBL, PHKB, HSPA2, WNT9A, KIAA1217, WNK2, EEF1A2, TACC2, MAPT, PLCD3, FGF13, CRYAB",1.48611111111111,0.101278680533653
HPA_RNA_TISSUE,parathyroid gland,9,2.48618784530386,0.117655463577132,"DNAH11, SYT12, DMRT2, RIMBP2, KIAA1549L, FGF13, FHDC1, LZTS1, MAPK4",1.83276053215077,0.485328787255671
HPA_RNA_TISSUE,endometrium 1,4,1.1049723756906,0.383383876906593,"ADAMTSL1, ALDH1A2, CACNA1C, RSPO1",1.79553600521342,0.942857142857142
HPA_RNA_TISSUE,kidney,13,3.59116022099447,0.390940511562182,"CA12, DMRT2, ARHGEF28, OGDHL, HNF1B, RAP1GAP, SLC22A18AS, FAM131C, CHDH, HECW1, STK32B, FREM2, CGNL1",1.20332762211919,0.942857142857142
HPA_RNA_TISSUE,cervix,6,1.65745856353591,0.410921280001147,"MUC16, RSPO1, MXRA5, THSD4, ADRA2A, CACNA1G",1.42316632231404,0.942857142857142
HPA_RNA_TISSUE,adipose tissue,7,1.93370165745856,0.419640356580304,"ITIH5, MUC16, AKR1C2, SVEP1, PRG4, FRMD4A, ADRA2A",1.34047470113983,0.942857142857142
HPA_RNA_TISSUE,liver,25,6.90607734806629,0.472325069724134,"LCAT, OGDHL, ADCY1, SLC6A1, IGSF9, CUX2, SLC22A18AS, ALDH1B1, CBS, APOB, MPDZ, ACADS, SEC16B, COL26A1, MMAB, AKR1C1, AKR1C2, PRG4, GCK, MLXIPL, SYT12, CHDH, SERINC2, MMACHC, FOXA2",1.06822446574237,0.942857142857142
HPA_RNA_TISSUE,placenta,8,2.20994475138121,0.530831233951305,"CDH5, FCGR2A, COL4A2, EPAS1, CDH11, ATP1A4, IGF2BP1, SVEP1",1.16365748073065,0.942857142857142
HPA_RNA_TISSUE,esophagus,11,3.03867403314917,0.579201016261684,"FAM83H, DMRTA2, FAM83F, C6ORF132, ELF3, TMPRSS4, KLRG2, NDUFA4L2, PLEKHN1, N4BP3, ARNTL2",1.06792635658914,0.942857142857142
HPA_RNA_TISSUE,pancreas,8,2.20994475138121,0.622979970651033,"SDK1, CBS, TBC1D30, PLXNA2, HUNK, HNF1B, FOXA2, NAT16",1.06699583696388,0.942857142857142
HPA_RNA_TISSUE,tongue,12,3.31491712707182,0.628989089737111,"SEMA6C, FBXO40, ABLIM2, MYBPC2, KCNJ12, DNAJB5, TNNI1, COBL, ADCY2, FGF13, SRL, CRYAB",1.02027402332901,0.942857142857142
HPA_RNA_TISSUE,urinary bladder,5,1.38121546961325,0.652330357975003,"GPRC5A, OSR1, PRDM6, TMPRSS4, ATP1A4",1.12221000325839,0.942857142857142
HPA_RNA_TISSUE,seminal vesicle,2,0.552486187845303,0.812086695258509,"ACAN, RPE65",1.21003513394817,0.942857142857142
HPA_RNA_TISSUE,prostate,3,0.828729281767955,0.814117907020099,"RAB3B, CUX2, SALL3",0.978426846590909,0.942857142857142
HPA_RNA_TISSUE,fallopian tube,6,1.65745856353591,0.85776975261005,"CCDC17, DNAI2, MUC16, FAM183A, ALDH1A2, DNAH9",0.821236959761549,0.942857142857142
