human_gene,CD4_T,CD8_T,other_T,B,NK,CD14_Mono,CD16_Mono,DC,other,GeneLab,skin,skin_IE,skin_OD,skin_OE,skin_VA,JAXA.cfRNA.pval,NASA_multi_CD19,NASA_multi_CD4,NASA_multi_CD8,NASA_multi_LD,NASA_ribo_CD19,NASA_ribo_CD4,NASA_ribo_CD8,NASA_ribo_LD,NASA_poly_CD19,NASA_poly_CD4,NASA_poly_CD8,NASA_poly_LD,CD4_T.padj,CD8_T.padj,other_T.padj,B.padj,NK.padj,CD14_Mono.padj,CD16_Mono.padj,DC.padj,other.padj,GeneLab.padj,skin.padj,skin_IE.padj,skin_OD.padj,skin_OE.padj,skin_VA.padj,JAXA.cfRNA,NASA_multi_CD19.padj,NASA_multi_CD4.padj,NASA_multi_CD8.padj,NASA_multi_LD.padj,NASA_ribo_CD19.padj,NASA_ribo_CD4.padj,NASA_ribo_CD8.padj,NASA_ribo_LD.padj,NASA_poly_CD19.padj,NASA_poly_CD4.padj,NASA_poly_CD8.padj,NASA_poly_LD.padj
FGR,0.351746024,2.332676563,0.352525356,0.269196543,0.320653211,1.110167549,0.351883425,0.351599832,1.323729843,0.050142234,0.235113525,0.472639287,0.182893293,0.096734025,0.415617798,,,,,,,,,,,,,,0.0,0.0,9.42e-263,0.0,0.0,0.0,2e-68,5.7e-67,9.87e-92,0.575636365,0.438624588,0.72475001,,0.953301816,,,,,,,,,,,,,,
CSF3R,0.240105608,0.229117389,0.671208684,0.417471313,0.242411847,0.927056193,1.788984785,2.374863356,1.107431725,-0.026006067,0.044963633,-0.129439194,0.027045308,0.10828387,0.024591171,,,,,,,,,,,,,,0.0,0.0,4.29e-200,0.0,1.16e-290,2.76e-222,5.09e-53,4.77e-36,2.24e-88,0.859112962,0.903095334,0.940077856,,0.932453099,0.977171744,,,,,,,,,,,,,
ST6GALNAC3,0.139796234,0.361496692,2.041139851,0.603566952,0.369049023,0.900180687,1.151728246,2.954523495,0.768635185,0.095079557,-0.01788179,-0.061525557,0.158164224,0.171156294,-0.302414839,,,,,,,,,,,,,,0.0,0.0,1.47e-148,0.0,1.5e-246,3.67e-208,5.75e-49,7.41e-36,1.06e-86,0.018043732,0.963579622,0.974442131,,0.880791955,0.613003194,,,,,,,,,,,,,
LRRC8D,2.388824459,0.322919535,0.209042586,2.182151203,0.586296493,0.936507472,1.044840567,0.822949592,1.205148414,0.099849813,0.145093214,0.54011817,0.030030201,-0.157088415,0.199087933,,,,,,,,,,,,,,0.0,0.0,1.07e-143,0.0,4.79e-217,4.77e-184,1.37e-37,7.56e-19,1.56e-69,4.06e-05,0.591847764,0.543606419,,0.894558713,0.737427155,,,,,,,,,,,,,
EVI5,1.02796469,0.218084991,0.19593518,2.154521354,2.402381201,0.828694807,1.800505872,0.152713438,0.73633676,0.003166751,0.162715158,-0.110577682,-0.288508684,0.133425656,0.749738857,,,,,,,,,,,,,,0.0,0.0,1.21e-138,6.69e-255,3.27e-182,2.24e-175,1.99e-37,9.85e-15,3.67e-65,0.962632843,0.573938689,0.951040835,,0.917063702,0.064055181,,,,,,,,,,,,,
DPYD,0.365845474,0.602550858,0.327522181,0.689309812,1.876333636,1.073594252,1.022804483,0.750536647,0.578442578,0.146148498,0.30713336,-0.005334415,0.134899181,0.737502589,0.186359,,,,,,,,,,,,,,0.0,0.0,2.44e-128,4.1e-241,1.46e-176,1.57e-174,6e-37,6.77e-14,7.71e-62,0.024300842,0.196332777,0.997728456,,0.1486244,0.785172734,,,,,,,,,,,,,
DPYD-AS1,0.245984962,2.08154864,2.287446537,0.248433157,0.223867447,0.964260453,1.261036496,1.029113301,0.970848022,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.36e-113,3.98e-226,8.59e-162,2.18e-166,1.32e-34,9.62e-14,1.7e-47,,,,,,,,,,,,,,,,,,,
SLC22A15,0.425729955,0.368599943,0.376682783,0.554514416,0.182585075,0.914494324,0.9936563,0.563523795,2.456013278,0.04552549,0.089284135,-0.081198443,0.15383701,0.066962431,0.20374433,,,,,,,,,,,,,,0.0,4.27e-282,4.31e-95,2.4e-208,7.06e-147,7.86e-164,1.87e-32,1.35e-12,2.85e-47,0.247064045,0.751868278,0.961155965,,0.95740515,0.706788362,,,,,,,,,,,,,
NOTCH2,0.28894698,0.279494346,1.232884544,1.271831395,0.740921322,0.873515006,1.109548012,0.692269633,0.33528333,0.002253285,-0.127997898,0.001425516,0.098349774,-0.038844815,-0.642052211,,,,,,,,,,,,,,0.0,4.11e-277,2.82e-88,2.43e-180,2.21e-131,7.46e-162,3.69e-32,9.37e-10,1.25e-40,0.972331755,0.702359194,0.999239073,,0.974655216,,,,,,,,,,,,,,
ADAMTSL4-AS1,0.096244442,0.140476867,0.702273742,0.347111985,0.348276365,0.817449572,1.082680566,0.830328006,1.409461529,,,,,,,,,,,,,,,,,,,,0.0,2.03e-271,7.21e-88,9.64e-170,1.88e-124,5.05e-160,2.42e-29,3.74e-09,3.22e-39,,,,,,,,,,,,,,,,,,,
CTSS,0.929333867,0.590336088,0.678403229,0.983794566,0.73808721,0.9355625,0.950100751,0.66076018,0.681806458,-0.006554898,0.2604872,0.632983106,-0.030588382,0.470524399,0.264260555,,,,,,,,,,,,,,0.0,2.46e-184,2.24e-81,4.54e-162,3.35e-121,5.05e-157,5.48e-29,6.62e-09,4.46e-36,0.951497769,0.400167015,0.625109915,,0.641565651,,,,,,,,,,,,,,
S100A9,0.584106936,1.029848803,0.556698098,0.936607839,1.077091306,0.741559294,0.951619538,0.632210922,0.317836229,-0.036786928,0.198587772,-0.22965415,0.176195027,0.48868825,0.394962839,,,,,,,,,,,,,,0.0,1.26e-182,9.37e-78,3e-145,4.98e-102,8.13e-155,1.54e-27,4.49e-08,5.66e-35,0.932153461,0.416419134,0.870428019,,0.455507918,0.457442812,,,,,,,,,,,,,
S100A9,0.584106936,1.029848803,0.556698098,0.936607839,1.077091306,0.741559294,0.951619538,0.632210922,0.317836229,-0.498632442,0.198587772,-0.22965415,0.176195027,0.48868825,0.394962839,,,,,,,,,,,,,,0.0,1.26e-182,9.37e-78,3e-145,4.98e-102,8.13e-155,1.54e-27,4.49e-08,5.66e-35,0.002803495,0.416419134,0.870428019,,0.455507918,0.457442812,,,,,,,,,,,,,
S100A8,0.638681748,0.692546601,1.108259217,0.246341782,0.244895617,0.562618242,-0.888299915,0.743354354,0.923186727,-0.123651183,0.087256873,0.358008549,0.150840581,-0.054523097,0.000902367,,,,,,,,,,,,,,0.0,2.91e-182,3.53e-76,1.54e-141,4.38e-99,2.18e-153,6.93e-26,4.54e-08,8.61e-31,0.54267084,0.749582669,0.706624816,,0.963562898,0.999329813,,,,,,,,,,,,,
MNDA,0.872375955,0.160053311,0.827577656,0.906807464,0.14632719,0.86753875,1.042114635,0.72940433,0.697236844,0.092202685,0.063235504,0.220017066,-0.19795349,-0.281692987,0.41587969,,,,,,,,,,,,,,0.0,6.06e-162,1.94e-68,1.33e-138,2.86e-97,2.52e-141,1.09e-25,7.26e-08,7.35e-30,0.528549805,0.872286391,0.887984957,,0.81723301,,,,,,,,,,,,,,
MNDA,0.872375955,0.160053311,0.827577656,0.906807464,0.14632719,0.86753875,1.042114635,0.72940433,0.697236844,0.03133207,0.063235504,0.220017066,-0.19795349,-0.281692987,0.41587969,,,,,,,,,,,,,,0.0,6.06e-162,1.94e-68,1.33e-138,2.86e-97,2.52e-141,1.09e-25,7.26e-08,7.35e-30,0.812921921,0.872286391,0.887984957,,0.81723301,,,,,,,,,,,,,,
MNDA,0.872375955,0.160053311,0.827577656,0.906807464,0.14632719,0.86753875,1.042114635,0.72940433,0.697236844,0.014096322,0.063235504,0.220017066,-0.19795349,-0.281692987,0.41587969,,,,,,,,,,,,,,0.0,6.06e-162,1.94e-68,1.33e-138,2.86e-97,2.52e-141,1.09e-25,7.26e-08,7.35e-30,0.913013971,0.872286391,0.887984957,,0.81723301,,,,,,,,,,,,,,
RCSD1,0.139225258,0.868744187,0.258771089,0.677141993,0.176668017,0.816638817,1.14685573,0.628177865,0.590054824,0.026831843,-0.030025512,-0.031506437,0.185468548,-0.038882688,-0.157249541,,,,,,,,,,,,,,0.0,2.7e-161,6.01e-64,1.31e-128,7.13e-83,3e-141,1.73e-25,1.09e-07,1.28e-29,0.677394409,0.941209148,0.987424029,,0.976144975,0.824446909,,,,,,,,,,,,,
