pathway,pval,padj,log2err,ES,NES,size,timepoint,celltype,sample,info
HALLMARK_MITOTIC_SPINDLE,0.000541,0.00901,0.4772708,0.7240688,1.402316,199,Immediately Post-flight,CD4_T,Inspiration4,Hallmark
HALLMARK_MYC_TARGETS_V1,5.1e-08,2.55e-06,0.7195128,-0.7882363,-1.898824,196,Immediately Post-flight,CD4_T,Inspiration4,Hallmark
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.00102,0.0127,0.4550599,-0.6539301,-1.587221,200,Immediately Post-flight,CD4_T,Inspiration4,Hallmark
HALLMARK_UV_RESPONSE_DN,2.32e-05,0.000581,0.5756103,0.7777624,1.461375,140,Immediately Post-flight,CD4_T,Inspiration4,Hallmark
HALLMARK_MITOTIC_SPINDLE,9.11e-05,0.00152,0.5384341,0.7283821,1.436726,199,Immediately Post-flight,CD8_T,Inspiration4,Hallmark
HALLMARK_MYC_TARGETS_V1,5.34e-08,2.67e-06,0.7195128,-0.7803736,-1.87877,196,Immediately Post-flight,CD8_T,Inspiration4,Hallmark
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.000128,0.0016,0.5188481,-0.6633663,-1.605841,200,Immediately Post-flight,CD8_T,Inspiration4,Hallmark
HALLMARK_UV_RESPONSE_DN,1.33e-05,0.000333,0.5933255,0.7752951,1.477818,140,Immediately Post-flight,CD8_T,Inspiration4,Hallmark
HALLMARK_MITOTIC_SPINDLE,0.001,0.0167,0.4550599,0.7063213,1.395702,199,Immediately Post-flight,other_T,Inspiration4,Hallmark
HALLMARK_MYC_TARGETS_V1,1.85e-08,9.23e-07,0.733762,-0.7694634,-1.870576,196,Immediately Post-flight,other_T,Inspiration4,Hallmark
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.000153,0.00383,0.5188481,-0.6584842,-1.582253,200,Immediately Post-flight,other_T,Inspiration4,Hallmark
HALLMARK_UV_RESPONSE_DN,0.0029,0.029,0.4317077,0.7257427,1.387715,140,Immediately Post-flight,other_T,Inspiration4,Hallmark
HALLMARK_MITOTIC_SPINDLE,0.00041,0.0103,0.4984931,0.7277702,1.429158,199,Immediately Post-flight,B,Inspiration4,Hallmark
HALLMARK_MYC_TARGETS_V1,5.05e-09,2.53e-07,0.7614608,-0.7995805,-1.93061,196,Immediately Post-flight,B,Inspiration4,Hallmark
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.00157,0.0262,0.4550599,-0.6357794,-1.547224,200,Immediately Post-flight,B,Inspiration4,Hallmark
HALLMARK_MITOTIC_SPINDLE,0.00219,0.0219,0.4317077,0.6896407,1.396606,199,Immediately Post-flight,NK,Inspiration4,Hallmark
HALLMARK_MYC_TARGETS_V1,2.15e-09,1.07e-07,0.774939,-0.7763267,-2.000151,196,Immediately Post-flight,NK,Inspiration4,Hallmark
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.36e-05,0.00034,0.5933255,-0.6793749,-1.744109,200,Immediately Post-flight,NK,Inspiration4,Hallmark
HALLMARK_UV_RESPONSE_DN,0.000252,0.00315,0.4984931,0.7463848,1.458924,140,Immediately Post-flight,NK,Inspiration4,Hallmark
HALLMARK_MYC_TARGETS_V1,3.33e-11,1.66e-09,0.8513391,-0.8238455,-2.067774,196,Immediately Post-flight,CD14_Mono,Inspiration4,Hallmark
HALLMARK_MYC_TARGETS_V1,1.52e-13,7.61e-12,0.9436322,-0.8702034,-2.004917,196,Immediately Post-flight,CD16_Mono,Inspiration4,Hallmark
HALLMARK_OXIDATIVE_PHOSPHORYLATION,9.35e-08,2.34e-06,0.7049757,-0.7886278,-1.8284,200,Immediately Post-flight,CD16_Mono,Inspiration4,Hallmark
HALLMARK_UV_RESPONSE_DN,0.000798,0.0133,0.4772708,0.6979968,1.56142,140,Immediately Post-flight,CD16_Mono,Inspiration4,Hallmark
HALLMARK_MYC_TARGETS_V1,7.36e-14,3.68e-12,0.9545416,-0.8617176,-2.0641,196,Immediately Post-flight,DC,Inspiration4,Hallmark
HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.92e-10,7.31e-09,0.8140358,-0.8213827,-1.977722,200,Immediately Post-flight,DC,Inspiration4,Hallmark
HALLMARK_UV_RESPONSE_DN,0.000457,0.00762,0.4984931,0.6950906,1.623235,140,Immediately Post-flight,DC,Inspiration4,Hallmark
HALLMARK_MITOTIC_SPINDLE,0.000665,0.0166,0.4772708,0.7184779,1.299305,199,Immediately Post-flight,other,Inspiration4,Hallmark
HALLMARK_UV_RESPONSE_DN,0.00218,0.0363,0.4317077,0.7232363,1.287651,140,Immediately Post-flight,other,Inspiration4,Hallmark
