pathway,pval,padj,log2err,ES,NES,size,timepoint,info,sample,celltype
HSIAO_HOUSEKEEPING_GENES,7.40475e-05,0.01033823,0.5384341,0.5165801,1.918604,63,Immediately Post-flight,C2,EVPs,exosome.im
KIM_ALL_DISORDERS_OLIGODENDROCYTE_NUMBER_CORR_UP,7.679276e-05,0.01033823,0.5384341,0.5496135,1.964602,49,Immediately Post-flight,C2,EVPs,exosome.im
VERHAAK_AML_WITH_NPM1_MUTATED_UP,0.000283866,0.02911654,0.4984931,-0.6768948,-2.156467,19,Immediately Post-flight,C2,EVPs,exosome.im
GOBP_VASOCONSTRICTION,5.815512e-05,0.007727512,0.5573322,-0.9726292,-1.870863,4,Immediately Post-flight,C5,EVPs,exosome.im
GOCC_ANCHORING_JUNCTION,0.0001850507,0.01917276,0.5188481,0.4622753,1.824558,86,Immediately Post-flight,C5,EVPs,exosome.im
GOCC_BLOOD_MICROPARTICLE,5.258927e-14,3.665472e-11,0.9653278,-0.5783799,-2.705403,108,Immediately Post-flight,C5,EVPs,exosome.im
GOCC_IMMUNOGLOBULIN_COMPLEX,2.408404e-12,1.538769e-09,0.8986712,-0.6307043,-2.802752,74,Immediately Post-flight,C5,EVPs,exosome.im
GOCC_IMMUNOGLOBULIN_COMPLEX_CIRCULATING,8.475206e-09,2.953609e-06,0.7477397,-0.6554015,-2.595263,45,Immediately Post-flight,C5,EVPs,exosome.im
GOMF_ADENYL_NUCLEOTIDE_BINDING,0.0004430234,0.03501712,0.4984931,0.5428533,1.890592,41,Immediately Post-flight,C5,EVPs,exosome.im
GOMF_ANTIGEN_BINDING,4.572458e-08,1.402281e-05,0.7195128,-0.5492265,-2.373485,66,Immediately Post-flight,C5,EVPs,exosome.im
GOMF_GTPASE_ACTIVATOR_ACTIVITY,7.115793e-05,0.008909536,0.5384341,0.880696,2.007297,8,Immediately Post-flight,C5,EVPs,exosome.im
GOMF_IMMUNOGLOBULIN_RECEPTOR_BINDING,1.784199e-07,4.885518e-05,0.6901325,-0.6192606,-2.438632,44,Immediately Post-flight,C5,EVPs,exosome.im
GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY,0.000149261,0.0156765,0.5188481,0.8062805,1.954883,10,Immediately Post-flight,C5,EVPs,exosome.im
GOMF_RIBONUCLEOTIDE_BINDING,2.347689e-08,7.825972e-06,0.733762,0.5819236,2.252959,77,Immediately Post-flight,C5,EVPs,exosome.im
HP_ABNORMAL_ERYTHROCYTE_MORPHOLOGY,0.0004032449,0.03324386,0.4984931,0.5035814,1.833004,53,Immediately Post-flight,C5,EVPs,exosome.im
HP_ANEMIA_OF_INADEQUATE_PRODUCTION,8.295634e-05,0.00993791,0.5384341,0.7168344,2.018419,17,Immediately Post-flight,C5,EVPs,exosome.im
HP_HYDROPS_FETALIS,0.0006685591,0.04617876,0.4772708,0.8601587,1.863582,7,Immediately Post-flight,C5,EVPs,exosome.im
HP_PALLOR,2.325749e-05,0.003566304,0.5756103,0.8387185,2.10514,11,Immediately Post-flight,C5,EVPs,exosome.im
