gene_id,gene_symbol,type_of_gene,crewID,Timepoint,z_counts
ENSG00000007968,E2F2,Trans-acting factors,C001,L-3,-0.794858425207536
ENSG00000007968,E2F2,Trans-acting factors,C001,L-44,-1.24360344223954
ENSG00000007968,E2F2,Trans-acting factors,C001,L-92,-0.868662255147559
ENSG00000007968,E2F2,Trans-acting factors,C001,R+1,-0.777560096025845
ENSG00000007968,E2F2,Trans-acting factors,C001,R+194,1.50407246460269
ENSG00000007968,E2F2,Trans-acting factors,C001,R+45,1.15096933566227
ENSG00000007968,E2F2,Trans-acting factors,C001,R+82,0.534871384834763
ENSG00000007968,E2F2,Trans-acting factors,C002,L-3,-0.194242155929963
ENSG00000007968,E2F2,Trans-acting factors,C002,L-44,-0.0237072483264291
ENSG00000007968,E2F2,Trans-acting factors,C002,L-92,-0.196320193128403
ENSG00000007968,E2F2,Trans-acting factors,C002,R+1,-0.524274983310724
ENSG00000007968,E2F2,Trans-acting factors,C002,R+194,1.75311999954345
ENSG00000007968,E2F2,Trans-acting factors,C002,R+45,0.40743507414757
ENSG00000007968,E2F2,Trans-acting factors,C002,R+82,2.07730756502126
ENSG00000007968,E2F2,Trans-acting factors,C003,L-3,-0.437987728551892
ENSG00000007968,E2F2,Trans-acting factors,C003,L-44,-1.38507520886849
ENSG00000007968,E2F2,Trans-acting factors,C003,L-92,-1.01220487224349
ENSG00000007968,E2F2,Trans-acting factors,C003,R+1,-0.888850340845363
ENSG00000007968,E2F2,Trans-acting factors,C003,R+194,0.964677347413613
ENSG00000007968,E2F2,Trans-acting factors,C003,R+45,-0.84544170953057
ENSG00000007968,E2F2,Trans-acting factors,C003,R+82,-0.604204610323696
ENSG00000007968,E2F2,Trans-acting factors,C004,L-44,-0.0980776537653348
ENSG00000007968,E2F2,Trans-acting factors,C004,R+1,0.331665233454733
ENSG00000007968,E2F2,Trans-acting factors,C004,R+194,1.57101768156588
ENSG00000007968,E2F2,Trans-acting factors,C004,R+45,-0.400065162801399
ENSG00000117713,ARID1A,Trans-acting factors,C001,L-3,-0.452300602038721
ENSG00000117713,ARID1A,Trans-acting factors,C001,L-44,-1.83352717916239
ENSG00000117713,ARID1A,Trans-acting factors,C001,L-92,-1.11364980060844
ENSG00000117713,ARID1A,Trans-acting factors,C001,R+1,0.0666995694630595
ENSG00000117713,ARID1A,Trans-acting factors,C001,R+194,1.115508345811
ENSG00000117713,ARID1A,Trans-acting factors,C001,R+45,0.910004731996962
ENSG00000117713,ARID1A,Trans-acting factors,C001,R+82,1.07033119557981
ENSG00000117713,ARID1A,Trans-acting factors,C002,L-3,-0.512322245971973
ENSG00000117713,ARID1A,Trans-acting factors,C002,L-44,-0.51692991179344
ENSG00000117713,ARID1A,Trans-acting factors,C002,L-92,-1.133199192859
ENSG00000117713,ARID1A,Trans-acting factors,C002,R+1,-0.146287821785833
ENSG00000117713,ARID1A,Trans-acting factors,C002,R+194,0.966936399401977
ENSG00000117713,ARID1A,Trans-acting factors,C002,R+45,0.152444733993828
ENSG00000117713,ARID1A,Trans-acting factors,C002,R+82,0.911641193311128
ENSG00000117713,ARID1A,Trans-acting factors,C003,L-3,-0.674797989691735
ENSG00000117713,ARID1A,Trans-acting factors,C003,L-44,-1.73960552848678
ENSG00000117713,ARID1A,Trans-acting factors,C003,L-92,-1.13537027419528
