gene,Pre vs Flight Pval,Pre vs Flight Fold Change,Pre vs Post Pval,Pre vs Post Fold Change,Flight vs Post Pval,Flight vs Post Fold Change
5S_rRNA_4,0.677735731269028,1.70998925871196,0.379037181646137,2.95792219393353,0.688373287076048,1.72978992637742
7SK_1,0.12410235335455,-3.83206513022082,0.135793643265133,-3.83206513022082,1.0,1.0
A1BG,0.613725642211535,2.05787042763026,0.918057778154057,-1.10498635738683,0.475046589515926,-2.27391874780124
A1BG-AS1,0.0837720280159476,8.87095517811056,0.0435225172496176,15.1333760272511,0.627748875267622,1.70594662281615
A1CF,0.827572104611354,1.49665893702096,0.94959230963781,-1.14236776334955,0.732157725895874,-1.70973492238175
A2M,0.663182811286946,-1.10090464797285,0.10611658915752,1.45927070724797,0.0236695128516899,1.60651790425991
A2M-AS1,0.66940898306011,-1.38325870261877,0.518069143967844,-1.68344099982213,0.812453251016046,-1.21701095871298
A2ML1,0.0590192240397408,-5.81897258030859,0.255360213668243,4.06971493610677,0.00197272977302444,23.6815596228776
A2ML1-AS2,0.194146180555853,-2.69039422418496,0.737510207172765,-1.37888266775878,0.288602124542703,1.95114079471163
A2MP1,0.451211572836674,2.73138732510672,0.226149816125486,-3.12602010849605,0.0327448303201033,-8.53837170237485
A3GALT2,0.0273376058427135,-7.86129922723839,0.172570675102887,6.01287275954827,0.000506271897269129,47.2689919781196
A4GALT,0.0190034678021145,-7.05757432834818,0.506583307629641,1.8410942159799,0.00226317130320172,12.99365927477
A4GNT,0.0904911023252469,-5.25643816679124,0.100276499084183,-5.25643816679124,1.0,1.0
AAAS,0.619464272099224,-1.26122244252836,0.660595189529934,-1.24094851258446,0.963293330789973,1.0163374465083
AACS,0.00201332729816836,-3.79529877187023,0.318564254689995,1.57369265243817,2.11664365626906e-05,5.9726337910998
AACSP1,0.651857061237689,1.92533672756126,0.857666822026243,1.36844532642491,0.803584269398547,-1.40695188209765
AADACL3,0.00116010233363334,-25.0473844563314,0.720750850787581,1.46952687362043,0.000292229639738164,36.8078045724816
AADACL4,0.0237817140041383,-11.3915046668145,0.559440797236607,2.49827657935398,0.00469464890882945,28.4591293127043
AADAT,1.0,1.0,0.00220219616468849,32.6489744218714,0.000181373686831007,32.6489744218714
AAED1,0.776328172710335,1.20964817316717,0.579815159906176,1.42965528875611,0.7636464465635,1.18187694609822
AAGAB,0.48572996969294,-1.24246754700367,0.803016062338482,-1.07991382460891,0.632526057630982,1.1505247165936
AAK1,0.713675841225891,-1.08176991070316,0.474148871148302,-1.16837032991422,0.701936883979843,-1.08005437972921
AAMDC,0.465951125099934,-1.75951745202593,0.636181543290273,-1.42883616648806,0.795618907198652,1.23143401132591
AAMP,0.131986279588972,-1.37481823206373,0.730525921936051,-1.07447486760896,0.213135418102004,1.27952572322434
AANAT,0.263634672155863,-3.13355371611972,0.428091076274911,2.74781327271083,0.0418254433722311,8.61042049190612
AAR2,0.438423460481912,1.43406384602887,0.951324908118394,-1.01871083816056,0.352587503029019,-1.46089638256382
AARD,0.928631013818175,-1.04375128000963,0.733312018501352,1.46945385841197,0.627279491698051,1.53374434563258
AARS,0.0317981792125492,-1.93783381815611,0.56572213614398,-1.19273338671654,0.0938176148822517,1.62469990337969
AARS2,0.755080381912351,-1.27555782752243,0.0578518922892352,-5.56247006188107,0.090590796649352,-4.3608137097832
AARSD1,0.710769733840069,1.3071444472887,0.553095397831645,-1.42624234881493,0.291271140315079,-1.86430476674142
AASDH,0.987142168263178,1.03495981698122,0.625007551004187,-1.30379810870229,0.578059442376505,-1.34937865196298
AASDHPPT,0.624812838217992,1.30217853440361,0.284875995374698,1.7597218957017,0.510828202640128,1.35136761143712
AASS,0.109350386654646,4.64967511004046,0.0317625599185199,8.68883635316068,0.42040674316046,1.86869752133823
AATF,0.85067019770758,-1.03469437986133,0.640091383874605,1.09483705358084,0.471306677413031,1.13282174620404
AATK,0.0579402687419148,-2.5561161485849,0.563900598928178,1.36521222955433,0.00872669294569327,3.48964102620943
AATK-AS1,0.00659494280220639,-16.5822853567443,0.740063601206268,1.517644176797,0.00208994054880461,25.1660088096492
ABAT,0.63806607885098,1.28712998567618,0.692677808015492,1.23712596734874,0.939415740165752,-1.04041950427619
ABC7-42389800N19.1,1.0,1.00765656364081,0.0726661086032013,-3.88922210473034,0.0601156637292577,-3.91900018128845
ABCA1,0.511635054922948,-1.48818157547265,0.780945639100158,-1.17640705140812,0.690147547234662,1.26502265834886
ABCA10,0.73003125570271,1.4989806285864,0.818317582510318,1.35940946937024,0.920310936413311,-1.10267043327336
ABCA11P,0.0698623284870366,-5.35426818774892,1.0,1.10445870432584,0.0589573814911878,5.91356810525424
ABCA12,1.0,1.0,0.299522989028232,2.91300908706042,0.163835764413086,2.91300908706042
ABCA13,0.292339987405908,-2.71682501610284,0.783811456602983,1.41944269083894,0.156507830159865,3.85637741139557
ABCA17P,0.784527682652071,1.52411955944423,0.325204550136998,3.5795480339443,0.406668892883992,2.34860054892911
ABCA2,0.427898259071121,-1.39388713267106,0.482682470947458,-1.3495338108649,0.93123522358332,1.03286566179305
ABCA3,0.742550978222964,-1.20073309923551,0.615363651150248,-1.34456805354536,0.849579306920505,-1.1197892807331
ABCA4,0.611491241688326,2.0916678351755,0.0554522103286296,14.0120987033249,0.0786025412437501,6.69900758986872
ABCA5,0.957802201884787,1.0414070986353,0.553667041572698,-1.32786475110348,0.478813676749894,-1.38284777782675
ABCA6,0.401652932505799,-2.06567122301063,0.973655346677908,1.07564709987154,0.343515659742396,2.22193326031948
ABCA7,0.799131474991325,-1.09752782419103,0.0889236662313174,-1.96953063945602,0.118137106942382,-1.79451545195014
ABCA8,0.124982959927768,7.85950649350535,0.0708302777537067,13.1040127017562,0.665355374456952,1.66728187228862
