gene,baseMean,log2FoldChange,lfcSE,stat,pval,adj_pval
A1BG,8.63047458,0.18894434,0.17000648,1.1113949,0.26639841,0.71431945
A1CF,7.77982663,0.24742822,0.18010026,1.37383602,0.1694926,0.63083306
A2M,14.1124077,0.11578985,0.20554416,0.5633332,0.57320801,0.87904555
A2ML1,9.96115615,0.28588943,0.15215779,1.87890098,0.06025802,0.45487875
A3GALT2,7.60441915,-0.0672591,0.18315328,-0.3672287,0.71344847,0.93100123
A4GALT,9.10701475,0.35125765,0.18073605,1.94348422,0.05195768,0.43181627
A4GNT,8.62992304,0.13530542,0.16768695,0.80689294,0.41972817,0.80187029
AAAS,12.9770544,-0.1791142,0.15284635,-1.1718579,0.24125412,0.69594301
AACS,14.2931343,0.14014306,0.13936755,1.00556456,0.31462508,0.74581231
AADAC,6.88556878,0.25385777,0.19243914,1.31915873,0.18711605,
AADACL2,8.88144402,0.34737584,0.17791095,1.95252653,0.05087572,0.43048009
AADACL3,10.7135981,-0.0615389,0.16246617,-0.3787798,0.70485137,0.92840562
AADACL4,10.8910637,-0.13552,0.16149507,-0.8391587,0.40138025,0.79501014
AADAT,6.47897481,0.45380928,0.2170201,2.09109333,0.0365197,
AAGAB,8.96760333,0.07287292,0.16901335,0.43116666,0.66634719,0.91553265
AAK1,9.03128559,0.42960597,0.16540331,2.59732393,0.00939533,0.25109168
AAMDC,12.4043289,-0.007452,0.15373855,-0.0484718,0.96134022,0.99380289
AAMP,12.0318908,0.16624938,0.14793618,1.12379123,0.2611016,0.71026324
AANAT,7.39122825,-0.0984603,0.20549113,-0.4791462,0.6318346,0.9034524
AAR2,7.96759145,0.4402025,0.17358777,2.5359074,0.01121564,0.26545871
AARD,6.86249502,-0.1159717,0.21483552,-0.5398163,0.58932372,
AARS1,9.73793049,-0.1905443,0.16141906,-1.1804321,0.23782838,0.69334898
AARS2,9.32046401,0.18680892,0.17001563,1.09877497,0.27186623,0.7190668
AARSD1,12.450686,0.25503131,0.14616126,1.74486261,0.08100879,0.50352092
AASDH,8.73752905,0.37471357,0.17612287,2.12756905,0.03337283,0.38101206
AASDHPPT,7.39555805,0.14874546,0.20819204,0.71446278,0.47494107,0.83033834
AASS,9.20604875,0.13925466,0.17019609,0.81820125,0.41324228,0.79815742
AATF,10.2135305,-0.402946,0.16222262,-2.4839076,0.01299495,0.27809216
AATK,4.92897081,0.36373986,0.26731176,1.36073274,0.17359817,
ABAT,9.43267972,-0.1399555,0.18937608,-0.7390347,0.4598859,0.82238987
ABCA1,8.36864328,0.30648321,0.16584278,1.8480347,0.06459732,0.46629632
ABCA10,9.50587515,-0.0968989,0.18036536,-0.537237,0.59110395,0.88691593
ABCA12,10.296478,-0.1158555,0.16375779,-0.7074807,0.47926781,0.83345595
ABCA13,8.79088772,-0.0306387,0.17827554,-0.1718615,0.86354638,0.97328704
ABCA2,6.29263715,0.17566978,0.20492237,0.85725038,0.39130652,
ABCA3,6.97080816,0.20461209,0.19230084,1.06402075,0.2873193,
ABCA4,9.5321376,0.06078841,0.18161317,0.33471364,0.73784111,0.94001166
ABCA5,8.35177223,-0.0196036,0.16913907,-0.115902,0.90773024,0.98392892
ABCA6,8.94568638,0.14802272,0.17532688,0.84426713,0.39852015,0.79352085
ABCA7,9.5255148,0.07147259,0.16586471,0.43090895,0.66653457,0.91559877
ABCA8,8.61223684,0.32728273,0.17290226,1.89287713,0.05837421,0.45128185
ABCA9,7.01486765,0.34727956,0.21868907,1.58800602,0.11228498,
ABCB1,9.84615297,0.19890625,0.16449634,1.20918346,0.22659237,0.68504215
ABCB10,22.8077226,-0.2448401,0.13125644,-1.8653568,0.06213141,0.45961843
ABCB11,7.11402817,0.25827035,0.19680106,1.31234223,0.18940469,
ABCB4,7.1160236,0.12212457,0.18150599,0.67284044,0.50104881,
