SuperPathway,SubPathway,metabolite_name,annotation_confidence,Formula,Mass,RT,CAS ID,Mode,KEGG,HMDB,C001_June_Pre,C002_June_Pre,C003_June_Pre,C004_June_Pre,C001_Aug_Pre,C002_Aug_Pre,C003_Aug_Pre,C004_Aug_Pre,C001_Sept_Pre,C002_Sept_Pre,C003_Sept_Pre,C004_Sept_Pre,C001_Sept_Post,C002_Sept_Post,C003_Sept_Post,C004_Sept_Post,C001_Nov_Post,C002_Nov_Post,C003_Nov_Post,C004_Nov_Post,C001_Dec_Post,C002_Dec_Post,C003_Dec_Post,C004_Dec_Post
Amino acids,"Alanine, Aspartate, and Glutamate metabolism",Alanine,1,C3H7NO2,89.0472,9.56,56-41-7,ANPPOS,C00041,HMDB00161,2066912.0,1596969.0,1569175.0,1238565.0,1423242.0,1903181.0,1726954.0,1727293.0,1566700.0,1506324.0,1808886.0,1669636.0,1126872.0,1677664.0,1389494.0,1846427.0,1532612.0,1503157.0,1208786.0,1663259.0,1380531.0,1247128.0,1022717.0,1408361.0
Amino acids,"Alanine, Aspartate, and Glutamate metabolism",Succinic Semialdehyde,1,C4H6O3,102.0319,2.45,692-29-5,ANPNEG,C00232,HMDB01259,120737.0,169078.3,95344.89,104493.2,126086.7,101599.2,107774.6,88320.15,87050.87,90063.44,71077.63,52560.57,89004.57,77134.63,217879.3,141139.7,96956.95,146721.7,591505.3,78825.76,108133.8,193994.1,506156.1,393339.8
Amino acids,"Alanine, Aspartate, and Glutamate metabolism",4-Aminobutanoate (GABA),1,C4H9NO2,103.0629,9.14,56-12-2,ANPPOS,C00334,HMDB00112,1905230.0,992708.9,2386922.0,757533.8,1003263.0,1422114.0,1100464.0,1560468.0,1109385.0,921064.8,2138586.0,1397374.0,1738259.0,1814001.0,2028291.0,2082375.0,1399633.0,1204890.0,2997827.0,1344370.0,768559.0,1565087.0,1826872.0,1422576.0
Amino acids,"Alanine, Aspartate, and Glutamate metabolism",Asparagine,1,C4H8N2O3,132.0506,9.66,70-47-3,ANPNEG,C00152,HMDB00168,436019.5,240425.5,205211.5,231285.3,275952.5,411342.0,414955.7,173366.4,333839.8,379069.7,639836.2,312445.2,333251.7,339619.3,457564.9,268321.7,324907.6,307233.6,346635.4,191223.1,291927.9,141654.0,203364.3,250565.9
Amino acids,"Alanine, Aspartate, and Glutamate metabolism",Glutamine,1,C5H10N2O3,146.0695,9.89,56-85-9,ANPPOS,C00064,HMDB00641,17014064.0,17281438.0,20015987.0,17162111.0,17912301.0,21277140.0,14528632.0,19274576.0,16194923.0,14101580.0,14054168.0,12950217.0,17145373.0,18213064.0,16087495.0,19034927.0,19034960.0,17101706.0,16556537.0,17406933.0,17320652.0,20401193.0,13615270.0,18111553.0
Amino acids,"Alanine, Aspartate, and Glutamate metabolism",Glutamic Acid,1,C5H9NO4,147.0529,9.53,56-86-0,ANPPOS,C00025,HMDB00148,922017.5,1215903.0,1456022.0,863807.7,636279.3,623568.6,593779.3,1259571.0,1300692.0,1217691.0,1671487.0,1634842.0,710707.7,560421.0,1259078.0,1701451.0,635400.7,814506.4,860855.4,1295693.0,473701.4,349614.9,691744.1,1198261.0
Amino acids,"Alanine, Aspartate, and Glutamate metabolism",3-Hydroxyglutaric Acid,1,C5H8O5,148.0378,8.32,,ANPNEG,,HMDB00428,210071.3,433675.8,398202.0,596778.0,399522.7,473985.1,197568.4,291823.5,731381.3,356133.1,243794.3,408034.8,445367.4,424694.7,256029.9,273663.5,717928.7,342002.5,251214.4,252709.0,768298.5,332837.2,228528.9,263994.4
Amino acids,"Alanine, Aspartate, and Glutamate metabolism",N-Acetylaspartic Acid,1,C6H9NO5,175.0483,8.58,997-55-7,ANPPOS,C01042,HMDB00812,512263.1,390551.0,566321.4,423420.3,495154.1,461707.1,354934.1,462648.1,523297.0,388636.7,352951.8,448042.1,423864.0,461746.3,340429.0,496194.9,495776.8,348498.5,351326.1,425090.0,397368.9,443721.0,352395.0,447644.9
Amino acids,"Alanine, Aspartate, and Glutamate metabolism",N-Acetylaspartiylglutamate (NAAG),1,C11H16N2O8,304.093,9.24,,ANPNEG,C12270,HMDB01067,34319.19,35023.03,32552.43,17606.55,28441.08,29393.04,49528.46,37568.32,27539.37,41574.69,36421.19,29911.72,23112.82,32603.23,29291.53,44263.83,40542.73,37915.52,33398.0,34489.04,63417.88,46772.66,48952.98,69913.37
Amino acids,Arginine and Proline metabolism,Urea,1,CH4N2O,60.0315,2.78,57-13-6,ANPPOS,C00086,HMDB00294,8117136.0,5717212.0,8436509.0,8491632.0,7526050.0,7360417.0,7380924.0,8046395.0,7773296.0,6969988.0,10541733.0,7422344.0,7052674.0,7812641.0,7738637.0,9685714.0,6776663.0,7413797.0,7668793.0,7955169.0,8059203.0,7141542.0,8470010.0,6684272.0
