metabolite,SuperPathway,SubPathway,Formula,Mass,RT,annotation_confidence,is_spaceflight_de
Alanine,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",C3H7NO2,89.0472,9.56,1,False
Succinic Semialdehyde,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",C4H6O3,102.0319,2.45,1,False
4-Aminobutanoate (GABA),Amino acids,"Alanine, Aspartate, and Glutamate metabolism",C4H9NO2,103.0629,9.14,1,True
Asparagine,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",C4H8N2O3,132.0506,9.66,1,False
Glutamine,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",C5H10N2O3,146.0695,9.89,1,False
Glutamic Acid,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",C5H9NO4,147.0529,9.53,1,False
3-Hydroxyglutaric Acid,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",C5H8O5,148.0378,8.32,1,False
N-Acetylaspartic Acid,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",C6H9NO5,175.0483,8.58,1,False
N-Acetylaspartiylglutamate (NAAG),Amino acids,"Alanine, Aspartate, and Glutamate metabolism",C11H16N2O8,304.093,9.24,1,False
Urea,Amino acids,Arginine and Proline metabolism,CH4N2O,60.0315,2.78,1,False
Creatinine,Amino acids,Arginine and Proline metabolism,C4H7N3O,113.059,8.9,1,False
Proline,Amino acids,Arginine and Proline metabolism,C5H9NO2,115.0635,10.29,1,True
4-Hydroxy-Proline,Amino acids,Arginine and Proline metabolism,C5H9NO3,131.0585,9.53,1,False
Ornithine,Amino acids,Arginine and Proline metabolism,C5H12N2O2,132.087,25.87,1,False
Arginine,Amino acids,Arginine and Proline metabolism,C6H14N4O2,174.109,25.27,1,True
Citrulline,Amino acids,Arginine and Proline metabolism,C6H13N3O3,175.0958,10.54,1,True
N-Acetydglutamic Acid,Amino acids,Arginine and Proline metabolism,C7H11NO5,189.0652,8.83,1,False
Dimethylarginine,Amino acids,Arginine and Proline metabolism,C8H18N4O2,202.1396,26.67,1,False
Argininosuccinic Acid,Amino acids,Arginine and Proline metabolism,C10H18N4O6,290.1234,10.14,1,True
Phosphocreatine,Amino acids,Arginine and Proline metabolism,C4H10N3O5P,211.0359,12.03,1,False
Guanidinosuccinic Acid,Amino acids,Arginine and Proline metabolism,C5H9N3O4,175.0596,9.6,1,False
Proline Betaine,Amino acids,Arginine and Proline metabolism,C7H13NO2,143.0944,11.53,1,True
Sulfite,Amino acids,Cysteine and Methionine metabolism,H2O3S,81.9724,0.89,1,False
Thiosulfate,Amino acids,Cysteine and Methionine metabolism,H2O3S2,113.9449,4.65,1,False
