gene,logFC,AveExpr,t,pval,adj_pval,B
CD58,3.34427514639816,24.7693927580977,8.26179706205147,4.1490660681859e-08,2.18655781793397e-05,8.83080386542335
TFRC,-1.95381469871885,29.1896521614067,-7.19619945547353,3.78094125044019e-07,9.52144349222688e-05,6.7073311031828
ART4,2.0872557268866,24.0742446510229,7.02915540351399,5.42017656103997e-07,9.52144349222688e-05,6.35942627209587
AHCY,1.98465380945775,23.972798929564,6.85637890874999,7.89729278967064e-07,9.82443654602984e-05,5.99540497730328
FN1,-2.38402118851459,31.9399145614716,-6.78085269433273,9.32109729224842e-07,9.82443654602984e-05,5.83496318827193
IGLV7-46,-3.22556388570389,28.7418607931905,-6.44422455923175,1.96881027189247e-06,0.000172927168881222,5.1103602543543
PRKACA,2.15897961923874,24.2482082364288,6.24124966777628,3.11166476631402e-06,0.000212061762712159,4.66620489498468
AK1,2.29838385823636,25.2567465357259,6.1874861595012,3.51570435588302e-06,0.000212061762712159,4.54768159118024
FCN3,2.03060053939469,33.1844048163475,6.16041118080701,3.73912079954264e-06,0.000212061762712159,4.48785822678153
IGLV7-43,-2.18602067970478,28.612420234486,-6.09163298328212,4.37431145160737e-06,0.000212061762712159,4.33548647151787
FGB.1,-1.547372524682,33.827994485239,-6.08646001937085,4.42633660310009e-06,0.000212061762712159,4.32400307299909
PSMF1,2.16628539373205,24.3946502936001,5.93196024319548,6.30986819734509e-06,0.000277108378333405,3.97957166294832
PCMT1,2.15912068885043,23.9264986162392,5.81352064367273,8.29560681763142e-06,0.000327211650324728,3.71367882393251
EPB42,2.72457891398273,26.2356118669291,5.793355099711,8.69252961014459e-06,0.000327211650324728,3.66825368341794
CYBRD1,1.60137957603642,24.50365054996,5.75124374193481,9.58506904667501e-06,0.000336755425839848,3.5732521445476
STX7,-1.98535646359235,25.4431880376885,-5.62796552829748,1.27739872681868e-05,0.000417285325707634,3.29407646013742
LGALS3BP,-1.11359678686482,30.3893899039061,-5.60555730454904,1.34608169583107e-05,0.000417285325707634,3.24316559403595
THBS1,-1.46573612879697,28.6216261912834,-5.56642790648955,1.47516636958614e-05,0.000431895931539945,3.15414682640809
FGB,-1.35188939208156,33.8928874513058,-5.49104642657028,1.76051277040054e-05,0.000478065299160617,2.98224389880621
CNP,2.11069384243275,24.2579801374783,5.4763795178381,1.82225534785941e-05,0.000478065299160617,2.94873564790436
TBC1D24,1.94319210139397,23.7938584704829,5.45749610212055,1.90500403840094e-05,0.000478065299160617,2.90556561520857
C1R,-1.37395202432988,29.6697291809515,-5.35379064286084,2.43259483992232e-05,0.00058271703665412,2.66792374914348
EPB41L2,1.92451443310095,24.7439592994905,5.25413198866225,3.07955787741695e-05,0.000705620435390754,2.43871651468737
SELENBP1,1.86255342190283,24.8617483109466,5.15885091870555,3.86137113037586e-05,0.000843877225035923,2.21887373106142
C1QB,-0.958395355184908,30.8098288469072,-5.14035054861577,4.03510539213748e-05,0.000843877225035923,2.17611351165592
ESD,1.92010254213509,24.2597299977019,5.12720581073723,4.16334114818482e-05,0.000843877225035923,2.14571788346137
APEH,1.49862446564064,24.3913729951571,5.05048461021409,4.99868126739941e-05,0.000975668528859071,1.96808776142768
FGG.1,-1.30443600866403,33.5038503358822,-5.03159913261788,5.22915584022121e-05,0.000984201831355922,1.92430750077566
IGHV2-5,-1.10904099153627,28.9199129298046,-4.93851944547078,6.53231306689263e-05,0.00115015122053584,1.70823912881567
FGA,-1.2528293992523,33.4025141866764,-4.93755881214291,6.54735040153233e-05,0.00115015122053584,1.70600681010133
STOM,2.1091471290995,31.0711461468959,4.91505965740806,6.90972679504912e-05,0.00117465355515835,1.65371035040535
MPP1,2.48145133272985,25.8099115482652,4.87557781884106,7.5953394988413e-05,0.00123561904154333,1.56188213371351
E9PNW4,1.85314173873547,28.3362799979024,4.85914281590708,7.90062926400384e-05,0.00123561904154333,1.52363652495238
GDI2,1.80481447619902,25.7588584690638,4.85185912835283,8.03986262134094e-05,0.00123561904154333,1.50668310032117
SVIP,3.47040674923982,24.9234834692951,4.843322780001,8.20619856812458e-05,0.00123561904154333,1.48681118915568
FGG,-1.2533208372244,33.7329870118923,-4.8242265690973,8.59099047463358e-05,0.00125762555003663,1.44234612102745
RP2,1.9625482670741,24.7322051895802,4.79483269591935,9.21918887358409e-05,0.00131311149631859,1.37387570436743
SLC4A1,2.33672377262458,30.0756057829845,4.7551073433085,0.000101425082890108,0.00140660575481808,1.28129012096142
SLC2A1,1.79718233133032,28.2314677438137,4.69343181658841,0.000117643238245671,0.00158969196296073,1.1374491907803
RAN,2.14718826507161,25.1457493592456,4.6708231021512,0.000124222565435326,0.00163663229961043,1.08469518313691
GYPC,1.17077028983346,28.4273622101026,4.65230569702258,0.000129886504539101,0.00166951677785625,1.04147884619099
C4BPA,-1.08475437036598,32.4913848051251,-4.61485742131026,0.000142148094930507,0.00178362014353279,0.954060094225365
ARF1,2.61490029522364,25.7778254718006,4.58385185745863,0.000153177344569171,0.00185945083326652,0.88166319768542
C1QA,-0.990108449831044,30.4572193881991,-4.57828126880596,0.000155248266914092,0.00185945083326652,0.868654636747883
CD55,2.60041174828878,25.0456083088285,4.55531852742104,0.000164086384095336,0.00188935190938662,0.815027685641192
USP14,1.71120093413822,23.7157761119729,4.55322986319305,0.000164914967422741,0.00188935190938662,0.81014956421228
AIDA,2.18373169227967,24.0291467250946,4.50753401590016,0.000184133372289494,0.00206464440843752,0.703417428659273
BLVRB,2.66929480933494,26.6974162841643,4.49251990003417,0.00019092687614033,0.00209621799429071,0.668346455917206
ECM1,-1.96235793214604,25.835988032623,-4.47588394531675,0.000198748590560643,0.00211526816105864,0.629486531661958
C1QC,-0.851785361028149,31.0001605129123,-4.47185747560858,0.000200689578848068,0.00211526816105864,0.620081075499555
BPGM,2.61414928618594,24.7872240500768,4.44942402568643,0.000211857365217135,0.0021891927739104,0.567678982327643
LTN1,3.1877944268114,28.7315624721135,4.37972283096436,0.000250693107941684,0.00254067822856283,0.404881382465983
PF4V1,-2.82277416357597,28.4816175390706,-4.35945115649951,0.00026327399344864,0.00261783763297043,0.357543028721699
ANK1,2.62338986929118,26.9629374895372,4.34982355309526,0.00026946867001602,0.00262981461293412,0.335062756580435
IGHV5-51,-0.982312948849216,28.7789119250603,-4.30713794118445,0.00029874029819207,0.00286247522085856,0.235412418370549
CD5L,-0.881774552954599,32.5979924997749,-4.26810515031938,0.000328284445570242,0.00308939112170567,0.144324528616134
GDI1,1.83453661272005,25.1968412071201,4.21763717674044,0.000370856292429991,0.00342879414229132,0.0266145082054265
GNG5,2.25951828729344,24.9528238901644,4.2022845274818,0.000384870049950008,0.00343900005681523,-0.00917687560632796
CA1,2.27273783710346,30.3726457246508,4.20213254318709,0.000385011391559959,0.00343900005681523,-0.00953115147400129
CFI,-0.854135684323971,27.0476617906381,-4.19248193541655,0.000394093185659434,0.00346145181404203,-0.0320249772479108
CAT,2.07380650183264,27.7175701962887,4.17693045273005,0.000409180289732644,0.00352411155289125,-0.0682650952685737
PF4,-2.54413935038273,28.330033780229,-4.17148196898041,0.000414601359163676,0.00352411155289125,-0.0809595710290995
RAP2B,2.21743659802585,25.8428932261704,4.09565813379283,0.000497919915370402,0.00416513960952701,-0.257483389092517
FTH1,-1.29800649745846,25.7151981780116,-4.08563456740732,0.000510116773313956,0.0042004928052571,-0.280797638880678
C8A,-1.05613895087842,26.3770605436379,-4.06973745459473,0.000530073909927987,0.00429767616203152,-0.317762094017088
MMRN1,-2.20471323550549,26.5205789405137,-4.04755017764524,0.000559234106123697,0.00445821675901496,-0.369328322139658
UBE2V1,1.59215542593638,24.2141149001118,4.04198593307645,0.000566794161013288,0.00445821675901496,-0.382255756439041
LTBP1.1,-2.23629855112734,25.6959286848252,-4.02067096267455,0.000596707531408742,0.00462448336841775,-0.431759021421228
GSTO1,1.79325471855193,25.4103105774357,4.00273065673124,0.000623098659744158,0.00473910188668693,-0.473401888905584
RHCE,1.99855262946022,26.24081258661,3.99850476042258,0.000629482224038112,0.00473910188668693,-0.483207847793391
CA2,2.23797384875441,27.9375136198634,3.96238419775926,0.000686766710047639,0.00509755008725501,-0.566972247255805
PRDX1,1.53056303806769,29.356938263468,3.94344002066428,0.000718851926375535,0.0052615967388876,-0.610865727504326
PIGR,-0.899092167619276,27.0974566038012,-3.93388998800668,0.000735586577201439,0.0052807847471061,-0.632982527330986
ALDH1A1,1.69352975363841,24.3210622048142,3.93055881692013,0.000741514366766321,0.0052807847471061,-0.640695444160215
F11,-0.799817608843792,27.1043551574544,-3.89384906670411,0.000810063825840768,0.0056909723202171,-0.72563202597921
LTBP1,-1.97288821476421,25.6851629381441,-3.88842624035197,0.000820709480714421,0.0056909723202171,-0.738169324152697
APOC1,-1.48700158091712,28.5432319231571,-3.87768988322579,0.000842197191014844,0.00576412882681588,-0.762983619588879
RANBP1,1.62106928183374,23.8979504484706,3.87174050629228,0.000854343496789245,0.00577229516420426,-0.776729634442941
C4BPB,-1.04991307436051,29.0781187894212,-3.85999901798005,0.000878826864773389,0.00586255389538704,-0.803848876612759
GPX1,1.98283136890934,25.1579250230243,3.84575470921757,0.000909464223480514,0.00599109557217788,-0.836731720258483
HPRT1,1.28329753038497,23.7401990460994,3.82724092816622,0.000950870803661255,0.00615979603735909,-0.879441697655244
SEMA7A,1.49256396540449,24.3141025510884,3.82393864056072,0.00095845023731204,0.00615979603735909,-0.887056329506758
PRDX6,1.8505057624912,26.726000111888,3.81036808989405,0.000990230495230471,0.00628736712031877,-0.918336793493788
PEBP1,1.42815531294902,24.633533141897,3.78705448318814,0.00104728053507208,0.00653947801801553,-0.972031370029236
NRGN,1.89922780869603,24.6972341685761,3.78409374820993,0.00105475451903476,0.00653947801801553,-0.978846302426286
CLEC3B,-1.49759865255832,24.9756596499576,-3.77811337274525,0.00107001246130154,0.00655693682681294,-0.9926089072676
SUMO2,1.19257595731868,24.2090231668849,3.76627157201146,0.00110087174365313,0.00666849895293337,-1.01984900506252
DDI2,1.21017579518471,24.0527866686883,3.75777218599884,0.00112356164225334,0.00672860210758536,-1.03939097458675
SELENOP,-1.16879169279532,25.9642479847751,-3.74553938857044,0.00115703179646644,0.00685118827795299,-1.06750275114444
DDT,1.54075761468564,24.9474690389843,3.72009754776575,0.00122982994869932,0.00720133758849494,-1.12591497656497
F13B,-1.20133642659659,27.1714204155373,-3.68720158713252,0.00133069516342625,0.00770633352885314,-1.20132716681622
ILK,2.8434344552859,27.2788802205812,3.68130482067814,0.00134961944676249,0.00773097226569385,-1.21483111603073
PRDX2,1.71441335792163,30.2217750190375,3.66908614356534,0.00138968124929205,0.00782509374874407,-1.24279864383585
OLA1,1.52856683847102,24.0022444545166,3.66726637237445,0.00139574727207199,0.00782509374874407,-1.24696231784728
FKBP1A,1.50512232816549,24.6627111465221,3.65683563446312,0.00143102405248528,0.00793841763852365,-1.27081980709495
