gene,baseMean,log2FoldChange,lfcSE,stat,pval,adj_pval
NEK3,9.67411550039086,2.30269127066209,0.366660390663716,6.28017459560831,3.38193018820557e-10,6.31643101251155e-06
CMPK1,11.4815886270804,2.16898200588834,0.393414577651834,5.51322225738127,3.5232284520882e-08,0.000329016688998257
OR5B12,9.0786253953774,2.02366425100605,0.379356247501477,5.33446928667802,9.58244048260236e-08,0.000596570802978548
HRC,14.2870159823794,1.29899515011,0.258109266189694,5.03273349805011,4.83535105289447e-07,0.00225774629037275
RMDN3,15.4311924465139,1.31322054797084,0.265248139508034,4.95091332367693,7.38659989596132e-07,0.00275919052513739
SYT8,24.6338771721068,-1.10613158965408,0.239573357892144,-4.61708930987249,3.89159818089246e-06,0.0121138965374214
AP3B1,89.4750051971333,-1.40535028660371,0.310083596845807,-4.53216584462716,5.83819844587508e-06,0.0155771474819441
CDK5,9.07839121488134,1.49141357667394,0.334438483897823,4.45945562033344,8.21680843601913e-06,0.0171419344658224
SLC25A5,16.8586076261274,-0.910495404053241,0.204223684527772,-4.4583242446075,8.26028860054619e-06,0.0171419344658224
LMNA,21.1232968135262,-1.33632491598591,0.308680459319123,-4.3291529335337,1.49683963878778e-05,0.0270116409318171
HNRNPDL,15.7304229508082,-1.14689883184596,0.265749484073913,-4.31571423682228,1.59087674813936e-05,0.0270116409318171
GRM6,11.0382858191881,1.16159544845515,0.280460712500679,4.14174034608264,3.44680424391006e-05,0.0536466357195902
ITPR2,10.9991405455597,-1.0388208237552,0.251980634292484,-4.12262167159006,3.74584640004421e-05,0.0538162870874044
HNRNPA0,13.2755985745857,-1.07273608469985,0.266343132155679,-4.02764687798607,5.63378728674787e-05,0.0715007455942748
NECTIN1,10.187399884938,-1.17299417464214,0.291560916977385,-4.02315298909945,5.74241679024534e-05,0.0715007455942748
UBE2NL,8.67848854105637,1.02778237925514,0.256980156007414,3.99946204105146,6.3486629027315e-05,0.0741087356464476
ELAPOR2,8.51126597273443,1.01726235755232,0.255628045602426,3.97946303252833,6.90710989286751e-05,0.075884759687698
GLRA3,7.907560149103,1.12013616868483,0.28273694160675,3.96176092985683,7.43990160885255e-05,0.0771972457491884
ATP7A,8.67959207945063,1.28094050364475,0.327366020200528,3.91286946293359,9.12058429223489e-05,0.089655343592669
LY6D,11.7091278775345,-1.02566989687366,0.263705524812714,-3.88945168138629,0.000100470969495045,0.0938248148629474
HPD,4.99669042542021,1.55257846961316,0.403939645181503,3.84359021981003,0.000121247396719947,0.10295841180997
CDHR1,14.5730681082717,-0.926035603620889,0.240933563641338,-3.84353092871452,0.000121276707170281,0.10295841180997
GFI1,6.61815941455391,1.11952125438831,0.293896090390348,3.8092417388111,0.000139393622084525,0.113193681724899
CES5A,8.87753776911098,0.906931314243996,0.241911463535287,3.74902165027703,0.000177525761216867,0.133488378560041
NQO1,12.4376646564338,0.810954399564345,0.216404801098855,3.7473956004973,0.000178680166193769,0.133488378560041
FAM174A,11.9288506347306,-0.896134819416331,0.241518048944469,-3.71042588052032,0.000206910871183032,0.148633628503288
PRPF8,4.10727661008884,1.42787300328299,0.38658793775298,3.69352704479716,0.000221164976412097,0.152988824609212
XPNPEP3,11.1352832588862,0.836881323668809,0.228391736297074,3.66423644409034,0.000248077538127653,0.160223102815856
SYNGR2,11.6436601865991,-0.835856423067881,0.228157125478817,-3.66351224540426,0.000248780317056262,0.160223102815856
FAM71D,8.33970721431526,1.00793465475058,0.276317093910454,3.64774629208145,0.000264550674343251,0.164700431490297
FA2H,12.6346568375996,1.33971349822481,0.369190282302083,3.62878862864709,0.000284754265277489,0.171559852018957
EEF1D,35.9237548880044,-0.778204522734094,0.215028489749023,-3.61907635421893,0.000295656401474046,0.172561706572836
CYP3A7,4.92986571383866,1.34354808034463,0.372107669553436,3.61064334405418,0.000305438437103247,0.172868899690222
ARF1,11.7014139353263,-0.994490166101232,0.278081183324284,-3.57625839408741,0.000348547148006217,0.182800213292889
GSTP1,18.6385177773551,-0.807396701677364,0.225800782733766,-3.57570373274276,0.000349287038010425,0.182800213292889
CHST8,3.61901862853657,1.49960010243869,0.421371153868446,3.55885800124533,0.000372470831383854,0.182800213292889
HNRNPUL1,17.7774297602624,-0.829287311012031,0.23354432031982,-3.55087766585969,0.000383948836297066,0.182800213292889
ZFR,9.61171742157544,0.828966281193045,0.233551546436056,3.54939324463007,0.000386119990828724,0.182800213292889
LAMP2,11.7559848490832,-0.78719931830893,0.221818404819614,-3.54884581804242,0.000386923563571517,0.182800213292889
PLEKHG2,8.60917048193504,0.937454075969998,0.26509886898571,3.53624321203924,0.000405860856610741,0.182800213292889
DNAAF10,5.61745520982593,1.27481716606623,0.360939253648788,3.53194381929624,0.000412516985563115,0.182800213292889
IL1RAPL2,7.51359737070972,0.983411135148939,0.278588384194586,3.52997896158533,0.000415592712979937,0.182800213292889
CCDC150,9.44099074551455,1.11711931043216,0.316765440290707,3.52664517128807,0.000420860372200793,0.182800213292889
CHFR,4.72577188527554,1.34278758914764,0.383122660215813,3.50485034842692,0.000456864012868036,0.193928390189462
ALKAL2,8.52782680934694,0.90884066168309,0.26046170462208,3.48934467353572,0.000484206368736742,0.200967163308803
