taxid,domain,phylum,class,order,family,genus,species,C001_L-44_DEL,C001_R+1_DEL,C002_L-44_DEL,C002_R+1_DEL,C003_L-44_DEL,C003_R+1_DEL,C004_L-44_DEL,C004_R+1_DEL
1003195,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces cattleya,132.06301905933827,0.0,0.0,0.0,81.80759750760548,41.83454236974421,80.69376834578095,103.828750925764
1003237,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Nitrospirillum,Nitrospirillum amazonense,0.0,0.0,0.0,0.0,81.69879331922483,0.0,0.0,0.0
100787,Eukaryota,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium longisporum,0.0,86.06135099334962,0.0,0.0,0.0,0.0,91.86654019734937,106.07394240200271
1008454,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,153.7390631834539,0.0,0.0,0.0,0.0,0.0,46.70082904449787,0.0
100861,Eukaryota,,Oomycota,Saprolegniales,Saprolegniaceae,Aphanomyces,Aphanomyces euteiches,0.0,0.0,0.0,0.0,0.0,0.0,36.26726757108374,0.0
10090,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,0.0,80.43380851548919,0.0,0.0,0.0,0.0,0.0,34.45491216788849
10195,Eukaryota,Rotifera,Monogononta,Ploima,Brachionidae,Brachionus,Brachionus plicatilis,0.0,180.9602443594587,0.0,0.0,0.0,80.53393452987879,36.25867709603255,0.0
1031711,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum,0.0,0.0,0.0,0.0,60.735454474413345,0.0,0.0,0.0
1035,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia,Afipia felis,0.0,0.0,0.0,0.0,161.35063311638743,51.15675222544811,82.80230044709378,0.0
1035195,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium durum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04976519323527
